Date,Actual,ARIMA_Forecast,Prophet_Forecast
2023-04-21,4133.52001953125,4131.771254817955,3877.7040082001326
2023-04-24,4137.0400390625,4130.675713527456,3878.065763337432
2023-04-25,4071.6298828125,4131.210636283265,3873.6468142062026
2023-04-26,4055.989990234375,4131.882457266326,3865.871382812763
2023-04-27,4135.35009765625,4131.16316015148,3861.1523454228486
2023-04-28,4169.47998046875,4131.351596439688,3855.6891306392076
2023-05-01,4167.8701171875,4131.247990693347,3849.4892710694503
2023-05-02,4119.580078125,4131.265731419821,3842.576317867399
2023-05-03,4090.75,4131.297598168838,3841.026862383391
2023-05-04,4061.219970703125,4131.2718299371745,3834.9994383821986
2023-05-05,4136.25,4131.283965140576,3825.9452767898406
2023-05-08,4138.1201171875,4131.278040389608,3820.300014024745
2023-05-09,4119.169921875,4131.2788682707005,3814.2809990595674
2023-05-10,4137.64013671875,4131.280034490514,3807.908321840915
2023-05-11,4130.6201171875,4131.278962145053,3801.21228870696
2023-05-12,4124.080078125,4131.279618634668,3800.270103966373
2023-05-15,4136.27978515625,4131.279313989307,3795.234544120939
2023-05-16,4109.89990234375,4131.2793689886985,3787.5446073765293
2023-05-17,4158.77001953125,4131.279407310508,3783.6172474604723
2023-05-18,4198.0498046875,4131.279360312383,3779.644841820478
2023-05-19,4191.97998046875,4131.279392908531,3775.616518492623
2023-05-22,4192.6298828125,4131.279377528609,3771.5260655196093
2023-05-23,4145.580078125,4131.279381213811,3773.409176849524
2023-05-24,4115.240234375,4131.279382310281,3771.3728125266034
2023-05-25,4151.27978515625,4131.279380265004,3766.8066438456904
2023-05-26,4205.4501953125,4131.279381815493,3766.0756774400515
2023-05-29,,4131.279381042146,3765.318690573624
2023-05-30,4205.52001953125,4131.279381270524,3764.4705817613694
2023-05-31,4179.830078125,4131.279381290749,3763.4713385483233
2023-06-01,4221.02001953125,4131.279381204434,3768.3043529696397
2023-06-02,4282.3701171875,4131.279381276436,3769.026838313827
2023-06-05,4273.7900390625,4131.279381237855,3766.982293496969
2023-06-06,4283.85009765625,4131.279381251096,3768.4940851010547
2023-06-07,4267.52001953125,4131.279381250582,3769.664756494968
2023-06-08,4293.93017578125,4131.27938124709,3770.399146973172
2023-06-09,4298.85986328125,4131.279381250375,3770.6140037805676
2023-06-12,4338.93017578125,4131.279381248474,3776.27680131978
2023-06-13,4369.009765625,4131.279381249206,3777.4365081189317
2023-06-14,4372.58984375,4131.279381249113,3775.436238369969
2023-06-15,4425.83984375,4131.279381248979,3776.606852416115
2023-06-16,4409.58984375,4131.279381249126,3777.066113933541
2023-06-19,,4131.279381249034,3776.7414891463327
2023-06-20,4388.7099609375,4131.279381249073,3775.5792773934804
2023-06-21,4365.68994140625,4131.2793812490645,3779.582797705348
2023-06-22,4381.89013671875,4131.27938124906,3778.8423860015105
2023-06-23,4348.330078125,4131.279381249066,3774.7471570916364
2023-06-26,4328.81982421875,4131.279381249062,3773.677616144227
2023-06-27,4378.41015625,4131.279381249064,3771.8037500705777
2023-06-28,4376.85986328125,4131.279381249063,3769.106708716858
2023-06-29,4396.43994140625,4131.279381249063,3765.5867909767658
2023-06-30,4450.3798828125,4131.279381249063,3767.3004868713
2023-07-03,4455.58984375,4131.279381249063,3764.389356531215
2023-07-04,,4131.279381249063,3758.290725864553
2023-07-05,4446.81982421875,4131.279381249063,3755.429307813487
2023-07-06,4411.58984375,4131.279381249063,3752.0144019240356
2023-07-07,4398.9501953125,4131.279381249063,3748.0608018860944
2023-07-10,4409.52978515625,4131.279381249063,3743.59614292645
2023-07-11,4439.259765625,4131.279381249063,3744.697453475714
2023-07-12,4472.16015625,4131.279381249063,3741.5197017104524
2023-07-13,4510.0400390625,4131.279381249063,3735.5063224967057
2023-07-14,4505.419921875,4131.279381249063,3733.080835349102
2023-07-17,4522.7900390625,4131.279381249063,3730.4442038006537
2023-07-18,4554.97998046875,4131.279381249063,3727.5960595737392
2023-07-19,4565.72021484375,4131.279381249063,3724.542513429793
2023-07-20,4534.8701171875,4131.279381249063,3727.3333036739054
2023-07-21,4536.33984375,4131.279381249063,3726.0910564133937
2023-07-24,4554.64013671875,4131.279381249063,3722.2226239979777
2023-07-25,4567.4599609375,4131.279381249063,3722.111591081547
2023-07-26,4566.75,4131.279381249063,3721.916576022826
2023-07-27,4537.41015625,4131.279381249063,3721.5934274346273
2023-07-28,4582.22998046875,4131.279381249063,3721.104013896155
2023-07-31,4588.9599609375,4131.279381249063,3726.4543342736697
2023-08-01,4576.72998046875,4131.279381249063,3727.7247001510696
2023-08-02,4513.39013671875,4131.279381249063,3726.2819356978516
2023-08-03,4501.89013671875,4131.279381249063,3728.472665328499
2023-08-04,4478.02978515625,4131.279381249063,3730.422300253023
2023-08-07,4518.43994140625,4131.279381249063,3732.0578099593063
2023-08-08,4499.3798828125,4131.279381249063,3733.316966019004
2023-08-09,4467.7099609375,4131.279381249063,3740.1867783928287
2023-08-10,4468.830078125,4131.279381249063,3742.7338719343447
2023-08-11,4464.0498046875,4131.279381249063,3742.3167481008472
2023-08-14,4489.72021484375,4131.279381249063,3745.279005313579
2023-08-15,4437.85986328125,4131.279381249063,3747.7481353928342
2023-08-16,4404.330078125,4131.279381249063,3749.657991419509
2023-08-17,4370.35986328125,4131.279381249063,3750.9576263814283
2023-08-18,4369.7099609375,4131.279381249063,3757.6492370070287
2023-08-21,4399.77001953125,4131.279381249063,3759.8179765251152
2023-08-22,4387.5498046875,4131.279381249063,3758.8435987228486
2023-08-23,4436.009765625,4131.279381249063,3761.093024919505
2023-08-24,4376.31005859375,4131.279381249063,3762.7184697453517
2023-08-25,4405.7099609375,4131.279381249063,3763.6792393113005
2023-08-28,4433.31005859375,4131.279381249063,3763.9499186340377
2023-08-29,4497.6298828125,4131.279381249063,3769.557699033093
2023-08-30,4514.8701171875,4131.279381249063,3770.611623941342
2023-08-31,4507.66015625,4131.279381249063,3768.5137282320957
2023-09-01,4515.77001953125,4131.279381249063,3769.6511731449696
2023-09-04,,4131.279381249063,3770.1940206769846
2023-09-05,4496.830078125,4131.279381249063,3770.1167663730316
2023-09-06,4465.47998046875,4131.279381249063,3769.4063500378925
2023-09-07,4451.14013671875,4131.279381249063,3774.0993950738343
2023-09-08,4457.490234375,4131.279381249063,3774.311452300418
2023-09-11,4487.4599609375,4131.279381249063,3771.4482183749196
2023-09-12,4461.89990234375,4131.279381249063,3771.8978237504125
2023-09-13,4467.43994140625,4131.279381249063,3771.8288250295977
2023-09-14,4505.10009765625,4131.279381249063,3771.212010122365
2023-09-15,4450.31982421875,4131.279381249063,3770.0287240668267
2023-09-18,4453.52978515625,4131.279381249063,3774.3084538248254
2023-09-19,4443.9501953125,4131.279381249063,3774.1584352003006
2023-09-20,4402.2001953125,4131.279381249063,3770.97523939033
2023-09-21,4330.0,4131.279381249063,3771.1374219936806
2023-09-22,4320.06005859375,4131.279381249063,3770.8038580919147
2023-09-25,4337.43994140625,4131.279381249063,3769.935861768573
2023-09-26,4273.52978515625,4131.279381249063,3768.5057893692
2023-09-27,4274.509765625,4131.279381249063,3772.534857970019
2023-09-28,4299.7001953125,4131.279381249063,3772.1229372398166
2023-09-29,4288.0498046875,4131.279381249063,3768.6602692205606
2023-10-02,4288.39013671875,4131.279381249063,3768.520197876823
2023-10-03,4229.4501953125,4131.279381249063,3767.857533028595
2023-10-04,4263.75,4131.279381249063,3766.6306499026573
2023-10-05,4258.18994140625,4131.279381249063,3764.8100281830525
2023-10-06,4308.5,4131.279381249063,3768.4159680947864
2023-10-09,4335.66015625,4131.279381249063,3767.5482489969963
2023-10-10,4358.240234375,4131.279381249063,3763.597693224637
2023-10-11,4376.9501953125,4131.279381249063,3762.938725838059
2023-10-12,4349.60986328125,4131.279381249063,3761.7275639547943
2023-10-13,4327.77978515625,4131.279381249063,3759.9241458643087
2023-10-16,4373.6298828125,4131.279381249063,3757.5005123380356
2023-10-17,4373.2001953125,4131.279381249063,3760.4783854495618
2023-10-18,4314.60009765625,4131.279381249063,3758.9587171226444
2023-10-19,4278.0,4131.279381249063,3754.3331755995223
2023-10-20,4224.16015625,4131.279381249063,3752.9766644563556
2023-10-23,4217.0400390625,4131.279381249063,3751.0455101738407
2023-10-24,4247.68017578125,4131.279381249063,3748.4994290805334
2023-10-25,4186.77001953125,4131.279381249063,3745.309984955428
2023-10-26,4137.22998046875,4131.279381249063,3747.498279776657
2023-10-27,4117.3701171875,4131.279381249063,3745.1646454031143
2023-10-30,4166.81982421875,4131.279381249063,3739.700298507294
2023-10-31,4193.7998046875,4131.279381249063,3737.4800462781354
2023-11-01,4237.85986328125,4131.279381249063,3734.660670817432
2023-11-02,4317.77978515625,4131.279381249063,3731.203094278641
2023-11-03,4358.33984375,4131.279381249063,3727.0810269019803
2023-11-06,4365.97998046875,4131.279381249063,3728.3188312720417
2023-11-07,4378.3798828125,4131.279381249063,3725.021361737153
2023-11-08,4382.77978515625,4131.279381249063,3718.5857331080088
2023-11-09,4347.35009765625,4131.279381249063,3715.3940989167545
2023-11-10,4415.240234375,4131.279381249063,3711.612061172722
2023-11-13,4411.5498046875,4131.279381249063,3707.2108091737623
2023-11-14,4495.7001953125,4131.279381249063,3702.1756867365257
2023-11-15,4502.8798828125,4131.279381249063,3702.54392022477
2023-11-16,4508.240234375,4131.279381249063,3698.434267297131
2023-11-17,4514.02001953125,4131.279381249063,3691.2585434240773
2023-11-20,4547.3798828125,4131.279381249063,3687.4141112934612
2023-11-21,4538.18994140625,4131.279381249063,3683.081961674874
2023-11-22,4556.6201171875,4131.279381249063,3678.2484915613695
2023-11-23,,4131.279381249063,3672.9136886064675
2023-11-24,4559.33984375,4131.279381249063,3673.1284650067873
2023-11-27,4550.43017578125,4131.279381249063,3669.0239123161687
2023-11-28,4554.89013671875,4131.279381249063,3662.0224462449214
2023-11-29,4550.580078125,4131.279381249063,3658.529938628872
2023-11-30,4567.7998046875,4131.279381249063,3654.733476880846
2023-12-01,4594.6298828125,4131.279381249063,3650.6228677763415
2023-12-04,4569.77978515625,4131.279381249063,3646.198604548148
2023-12-05,4567.18017578125,4131.279381249063,3647.509048976553
2023-12-06,4549.33984375,4131.279381249063,3644.679606773504
2023-12-07,4585.58984375,4131.279381249063,3639.1238701458615
2023-12-08,4604.3701171875,4131.279381249063,3637.2358273747564
2023-12-11,4622.43994140625,4131.279381249063,3635.187780061401
2023-12-12,4643.7001953125,4131.279381249063,3632.952082849692
2023-12-13,4707.08984375,4131.279381249063,3630.50942018717
2023-12-14,4719.5498046875,4131.279381249063,3633.886365107235
2023-12-15,4719.18994140625,4131.279381249063,3633.1849894909296
