Date,Actual,LSTM_Forecast
2023-04-21,211.72843933105466,
2023-04-24,211.6289825439453,
2023-04-25,206.41758728027344,
2023-04-26,208.25747680664065,
2023-04-27,237.25839233398438,
2023-04-28,239.00878906250003,
2023-05-01,241.85317993164065,
2023-05-02,237.93467712402344,
2023-05-03,235.7367401123047,
2023-05-04,232.24589538574222,
2023-05-05,231.5099334716797,
2023-05-08,231.99723815917972,
2023-05-09,232.09669494628906,
2023-05-10,231.80828857421875,
2023-05-11,234.50347900390625,
2023-05-12,232.5342864990234,
2023-05-15,237.55676269531256,
2023-05-16,237.51696777343756,
2023-05-17,241.16696166992193,
2023-05-18,245.50315856933602,
2023-05-19,244.29975891113284,
2023-05-22,246.9651489257813,
2023-05-23,245.3937530517578,
2023-05-24,247.85028076171878,
2023-05-25,251.3112945556641,
2023-05-26,260.6102600097656,
2023-05-29,,
2023-05-30,261.087646484375,
2023-05-31,263.2756652832032,
2023-06-01,271.1225891113281,
2023-06-02,271.1225891113281,
2023-06-05,269.9092712402344,
2023-06-06,269.6407470703125,
2023-06-07,262.1617736816407,
2023-06-08,263.1363830566406,
2023-06-09,263.5044250488281,
2023-06-12,269.5710754394532,
2023-06-13,269.8396301269531,
2023-06-14,271.85858154296875,
2023-06-15,280.29229736328125,
2023-06-16,279.4668273925781,
2023-06-19,,
2023-06-20,282.77865600585943,
2023-06-21,280.1033935546875,
2023-06-22,283.32565307617193,
2023-06-23,287.15466308593756,
2023-06-26,276.95062255859375,
2023-06-27,285.4837951660156,
2023-06-28,283.7334289550781,
2023-06-29,279.993896484375,
2023-06-30,285.41418457031256,
2023-07-03,284.4593811035157,
2023-07-04,,
2023-07-05,292.7638549804688,
2023-07-06,290.3968505859375,
2023-07-07,288.94482421875,
2023-07-10,292.4953918457031,
2023-07-11,296.6624755859375,
2023-07-12,307.6522216796875,
2023-07-13,311.6999816894531,
2023-07-14,307.184814453125,
2023-07-17,308.9252014160156,
2023-07-18,310.3473815917969,
2023-07-19,314.28582763671875,
2023-07-20,300.8694152832031,
2023-07-21,292.6545104980469,
2023-07-24,290.01889038085943,
2023-07-25,292.8633117675781,
2023-07-26,296.9409484863281,
2023-07-27,310.0092468261719,
2023-07-28,323.7041625976563,
2023-07-31,316.86166381835943,
2023-08-01,320.9492492675781,
2023-08-02,312.59503173828125,
2023-08-03,311.48120117187506,
2023-08-04,309.03466796875006,
2023-08-07,314.8327941894531,
2023-08-08,310.93420410156256,
2023-08-09,303.54476928710943,
2023-08-10,304.0718078613282,
2023-08-11,299.9942626953125,
2023-08-14,304.5193786621094,
2023-08-15,300.3025207519532,
2023-08-16,292.684326171875,
2023-08-17,283.5345153808594,
2023-08-18,281.70455932617193,
2023-08-21,288.31829833984375,
2023-08-22,286.0307922363282,
2023-08-23,292.6345825195313,
2023-08-24,285.18548583984375,
2023-08-25,283.9422607421875,
2023-08-28,288.6763000488282,
2023-08-29,296.3641052246094,
2023-08-30,293.4898986816406,
2023-08-31,294.275634765625,
2023-09-01,294.76293945312506,
2023-09-04,,
2023-09-05,298.5123291015625,
2023-09-06,297.53771972656256,
2023-09-07,297.04040527343756,
2023-09-08,296.26470947265625,
2023-09-11,305.8819274902344,
2023-09-12,300.0140991210937,
2023-09-13,303.3955688476563,
2023-09-14,310.01922607421875,
2023-09-15,298.6714782714844,
2023-09-18,300.89923095703125,
2023-09-19,303.4054870605469,
2023-09-20,298.0349426269531,
2023-09-21,294.1164855957031,
2023-09-22,297.4481811523437,
2023-09-25,299.1886291503907,
2023-09-26,297.32879638671875,
2023-09-27,296.115478515625,
2023-09-28,302.3015441894531,
2023-09-29,298.57202148437506,
2023-10-02,305.1459045410157,
2023-10-03,299.2980346679688,
2023-10-04,303.9126892089844,
2023-10-05,303.12704467773443,
2023-10-06,313.7089233398437,
2023-10-09,316.62298583984375,
2023-10-10,320.08404541015625,
2023-10-11,326.03137207031256,
2023-10-12,322.39129638671875,
2023-10-13,312.97299194335943,
2023-10-16,319.3977661132813,
2023-10-17,322.2322082519531,
2023-10-18,315.24053955078125,
2023-10-19,311.1032409667969,
2023-10-20,306.96594238281256,
2023-10-23,312.2967224121094,
2023-10-24,310.8446960449219,
2023-10-25,297.8957214355469,
2023-10-26,286.77673339843756,
2023-10-27,295.1110229492188,
2023-10-30,301.0086364746094,
2023-10-31,299.6262512207031,
2023-11-01,310.1484680175782,
2023-11-02,309.173828125,
2023-11-03,312.8835144042969,
2023-11-06,314.07696533203125,
2023-11-07,317.0804748535156,
2023-11-08,318.0352478027344,
2023-11-09,318.80102539062506,
2023-11-10,326.9761962890625,
2023-11-13,327.3939514160156,
2023-11-14,334.4750366210937,
2023-11-15,330.8946533203125,
2023-11-16,332.3666381835937,
2023-11-17,333.2119750976562,
2023-11-20,338.1150817871094,
2023-11-21,335.14141845703125,
2023-11-22,339.6267700195312,
2023-11-23,,
2023-11-24,336.3845520019531,
2023-11-27,332.87387084960943,
2023-11-28,337.1404113769531,
2023-11-29,330.3874816894531,
2023-11-30,325.36505126953125,
2023-12-01,323.0477600097657,
2023-12-04,318.27392578125,
2023-12-05,316.5533447265625,
2023-12-06,315.7179565429688,
2023-12-07,324.80807495117193,
2023-12-08,330.9344787597656,
2023-12-11,323.5052185058594,
2023-12-12,332.3964538574219,
2023-12-13,332.9136047363281,
2023-12-14,331.3522033691406,
2023-12-15,333.0926513671875,
2023-12-18,342.7397155761719,
2023-12-19,348.4483947753907,
2023-12-20,347.3742980957032,
2023-12-21,352.1580810546875,
2023-12-22,351.4618835449219,
