Date,Actual,LSTM_Forecast
2023-11-17,333.21197509765625,
2023-11-20,338.1150817871094,
2023-11-21,335.14141845703125,
2023-11-22,339.62677001953125,
2023-11-23,,
2023-11-24,336.3845520019531,
2023-11-27,332.8738708496094,
2023-11-28,337.1404113769531,
2023-11-29,330.3874816894531,
2023-11-30,325.36505126953125,
2023-12-01,323.0477600097656,
2023-12-04,318.27392578125,
2023-12-05,316.5533447265625,
2023-12-06,315.71795654296875,
2023-12-07,324.8080749511719,
2023-12-08,330.9344787597656,
2023-12-11,323.5052185058594,
2023-12-12,332.3964538574219,
2023-12-13,332.9136047363281,
2023-12-14,331.3522033691406,
2023-12-15,333.0926513671875,
2023-12-18,342.7397155761719,
2023-12-19,348.4483947753906,
2023-12-20,347.3742980957031,
2023-12-21,352.1580810546875,
2023-12-22,351.4618835449219,
2023-12-26,352.8939819335937,
2023-12-27,355.8775939941406,
2023-12-28,356.3649597167969,
2023-12-29,352.0287475585937,
