Date,Actual,SARIMA_Forecast
2023-11-17,134.5033416748047,135.97884077393644
2023-11-20,135.43772888183594,135.91591601987017
2023-11-21,136.1534423828125,135.77746365489892
2023-11-22,137.66436767578125,135.69252770332216
2023-11-23,,135.58595542666689
2023-11-24,135.87510681152344,135.6428354060556
2023-11-27,135.59678649902344,135.62085056270033
2023-11-28,136.38206481933594,135.59327274888298
2023-11-29,134.1852569580078,135.577430031018
2023-11-30,131.7399139404297,135.5684480854549
2023-12-01,131.0738983154297,135.65804975217725
2023-12-04,128.49935913085938,135.66842761010184
2023-12-05,130.2091064453125,135.6654036365261
2023-12-06,129.24485778808594,135.6713538940622
2023-12-07,136.11366271972656,135.67964328981816
2023-12-08,134.1852569580078,135.78496388041972
2023-12-11,132.49537658691406,135.80841866024792
2023-12-12,131.72996520996094,135.8165139690596
2023-12-13,131.77967834472656,135.83179607728277
2023-12-14,131.1534423828125,135.84798511372324
2023-12-15,131.8094940185547,135.95993681667144
2023-12-18,134.99041748046875,135.98898807034547
2023-12-19,135.8353271484375,136.00179820762565
2023-12-20,137.5152587890625,136.0210566500649
2023-12-21,139.58285522460938,136.04059691332446
2023-12-22,140.64649963378906,136.15537460103798
2023-12-26,140.6763153076172,136.18680807243553
2023-12-27,139.53317260742188,136.20162663438558
2023-12-28,139.3939971923828,136.2225782140328
2023-12-29,138.85723876953125,136.24354589824398
