Date,Actual,LSTM_Forecast
2023-11-17,188.3109893798828,
2023-11-20,190.05816650390625,
2023-11-21,189.2540740966797,
2023-11-22,189.9192047119141,
2023-11-23,,
2023-11-24,188.58892822265625,
2023-11-27,188.4102478027344,
2023-11-28,189.01580810546875,
2023-11-29,187.9933013916016,
2023-11-30,188.569091796875,
2023-12-01,189.84971618652344,
2023-12-04,188.0528717041016,
2023-12-05,192.01385498046875,
2023-12-06,190.921875,
2023-12-07,192.8576812744141,
2023-12-08,194.2872314453125,
2023-12-11,191.7755889892578,
2023-12-12,193.2944793701172,
2023-12-13,196.5208435058593,
2023-12-14,196.66978454589844,
2023-12-15,196.1336975097656,
2023-12-18,194.4659118652344,
2023-12-19,195.50827026367188,
2023-12-20,193.41360473632807,
2023-12-21,193.2646942138672,
2023-12-22,192.1925506591797,
2023-12-26,191.6465606689453,
2023-12-27,191.74581909179688,
2023-12-28,192.1726989746093,
2023-12-29,191.1303253173828,
