Date,Actual,LSTM_Forecast
2023-08-25,133.25999450683594,
2023-08-28,133.13999938964844,
2023-08-29,134.91000366210938,
2023-08-30,135.07000732421875,
2023-08-31,138.00999450683594,
2023-09-01,138.1199951171875,
2023-09-04,,
2023-09-05,137.27000427246094,
2023-09-06,135.36000061035156,
2023-09-07,137.85000610351562,
2023-09-08,138.22999572753906,
2023-09-11,143.10000610351562,
2023-09-12,141.22999572753906,
2023-09-13,144.85000610351562,
2023-09-14,144.72000122070312,
2023-09-15,140.38999938964844,
2023-09-18,139.97999572753906,
2023-09-19,137.6300048828125,
2023-09-20,135.2899932861328,
2023-09-21,129.3300018310547,
2023-09-22,129.1199951171875,
2023-09-25,131.27000427246094,
2023-09-26,125.9800033569336,
2023-09-27,125.9800033569336,
2023-09-28,125.9800033569336,
2023-09-29,127.12000274658205,
2023-10-02,129.4600067138672,
2023-10-03,124.72000122070312,
2023-10-04,127.0,
2023-10-05,125.95999908447266,
2023-10-06,127.95999908447266,
2023-10-09,128.25999450683594,
2023-10-10,129.47999572753906,
2023-10-11,131.8300018310547,
2023-10-12,132.3300018310547,
2023-10-13,129.7899932861328,
2023-10-16,132.5500030517578,
2023-10-17,131.47000122070312,
2023-10-18,128.1300048828125,
2023-10-19,128.39999389648438,
2023-10-20,125.16999816894533,
2023-10-23,126.55999755859376,
2023-10-24,128.55999755859375,
2023-10-25,121.38999938964844,
2023-10-26,119.56999969482422,
2023-10-27,127.73999786376952,
2023-10-30,132.7100067138672,
2023-10-31,133.08999633789062,
2023-11-01,137.0,
2023-11-02,138.07000732421875,
2023-11-03,138.60000610351562,
2023-11-06,139.74000549316406,
2023-11-07,142.7100067138672,
2023-11-08,142.0800018310547,
2023-11-09,140.60000610351562,
2023-11-10,143.55999755859375,
2023-11-13,142.58999633789062,
2023-11-14,145.8000030517578,
2023-11-15,143.1999969482422,
2023-11-16,142.8300018310547,
2023-11-17,145.17999267578125,
2023-11-20,146.1300048828125,
2023-11-21,143.89999389648438,
2023-11-22,146.7100067138672,
2023-11-23,,
2023-11-24,146.74000549316406,
2023-11-27,147.72999572753906,
2023-11-28,147.02999877929688,
2023-11-29,146.32000732421875,
2023-11-30,146.08999633789062,
2023-12-01,147.02999877929688,
2023-12-04,144.83999633789062,
2023-12-05,146.8800048828125,
2023-12-06,144.52000427246094,
2023-12-07,146.8800048828125,
2023-12-08,147.4199981689453,
2023-12-11,145.88999938964844,
2023-12-12,147.47999572753906,
2023-12-13,148.83999633789062,
2023-12-14,147.4199981689453,
2023-12-15,149.97000122070312,
2023-12-18,154.07000732421875,
2023-12-19,153.7899932861328,
2023-12-20,152.1199951171875,
2023-12-21,153.83999633789062,
2023-12-22,153.4199981689453,
2023-12-26,153.41000366210938,
2023-12-27,153.33999633789062,
2023-12-28,153.3800048828125,
2023-12-29,151.94000244140625,
