Date,Actual,LSTM_Forecast
2023-04-21,104.78160095214844,
2023-04-24,105.33824920654295,
2023-04-25,103.23088836669922,
2023-04-26,103.09172821044922,
2023-04-27,106.9485855102539,
2023-04-28,106.70008087158205,
2023-05-01,106.5609130859375,
2023-05-02,104.69212341308594,
2023-05-03,104.78160095214844,
2023-05-04,104.06588745117188,
2023-05-05,104.9406280517578,
2023-05-08,107.12751770019533,
2023-05-09,106.71001434326172,
2023-05-10,111.08379364013672,
2023-05-11,115.87505340576172,
2023-05-12,116.80945587158205,
2023-05-15,115.81542205810548,
2023-05-16,118.79753112792967,
2023-05-17,120.11959838867188,
2023-05-18,122.09774017333984,
2023-05-19,122.02814483642578,
2023-05-22,124.30451202392578,
2023-05-23,121.829345703125,
2023-05-24,120.1792449951172,
2023-05-25,122.74386596679688,
2023-05-26,123.86712646484376,
2023-05-29,,
2023-05-30,122.9327392578125,
2023-05-31,122.13750457763672,
2023-06-01,122.98242950439452,
2023-06-02,123.92677307128906,
2023-06-05,125.2587890625,
2023-06-06,126.55104064941406,
2023-06-07,121.76969909667967,
2023-06-08,121.41184997558594,
2023-06-09,121.5013198852539,
2023-06-12,122.90290069580078,
2023-06-13,123.09178161621094,
2023-06-14,122.9327392578125,
2023-06-15,124.3442611694336,
2023-06-16,122.79357147216795,
2023-06-19,,
2023-06-20,122.36611938476562,
2023-06-21,119.83132934570312,
2023-06-22,122.41584014892578,
2023-06-23,121.61066436767578,
2023-06-26,117.63449096679688,
2023-06-27,117.62456512451172,
2023-06-28,119.46353912353516,
2023-06-29,118.38996887207033,
2023-06-30,118.98639678955078,
2023-07-03,119.18521118164062,
2023-07-04,,
2023-07-05,121.02417755126952,
2023-07-06,119.39395141601562,
2023-07-07,118.76770782470705,
2023-07-10,115.75577545166016,
2023-07-11,116.44166564941406,
2023-07-12,118.22098541259766,
2023-07-13,123.79753875732422,
2023-07-14,124.67228698730467,
2023-07-17,123.90689086914062,
2023-07-18,123.02218627929688,
2023-07-19,121.30250549316406,
2023-07-20,118.4893798828125,
2023-07-21,119.3044891357422,
2023-07-24,120.80549621582033,
2023-07-25,121.48143005371094,
2023-07-26,128.49935913085938,
2023-07-27,128.62855529785156,
2023-07-28,131.78961181640625,
2023-07-31,131.92877197265625,
2023-08-01,130.76576232910156,
2023-08-02,127.61465454101562,
2023-08-03,127.6842269897461,
2023-08-04,127.34626007080078,
2023-08-07,130.74588012695312,
2023-08-08,130.6166229248047,
2023-08-09,128.88702392578125,
2023-08-10,128.91683959960938,
2023-08-11,128.78761291503906,
2023-08-14,130.5470733642578,
2023-08-15,129.00628662109375,
2023-08-16,127.93273162841795,
2023-08-17,129.1454620361328,
2023-08-18,126.70013427734376,
2023-08-21,127.60470581054688,
2023-08-22,128.31048583984375,
2023-08-23,131.5808563232422,
2023-08-24,129.00628662109375,
2023-08-25,129.105712890625,
2023-08-28,130.22897338867188,
2023-08-29,133.7677459716797,
2023-08-30,135.0699462890625,
2023-08-31,135.35821533203125,
2023-09-01,134.85125732421875,
2023-09-04,,
2023-09-05,134.96058654785156,
2023-09-06,133.65841674804688,
2023-09-07,134.45364379882812,
2023-09-08,135.5669708251953,
2023-09-11,136.10372924804688,
2023-09-12,134.5331573486328,
2023-09-13,135.89500427246094,
2023-09-14,137.27670288085938,
2023-09-15,136.5808868408203,
2023-09-18,137.3860626220703,
2023-09-19,137.21705627441406,
2023-09-20,132.9427032470703,
2023-09-21,129.66236877441406,
2023-09-22,129.4735107421875,
2023-09-25,130.328369140625,
2023-09-26,127.80352783203124,
2023-09-27,129.7617645263672,
2023-09-28,131.521240234375,
2023-09-29,130.07986450195312,
2023-10-02,133.37013244628906,
2023-10-03,131.6405029296875,
2023-10-04,134.4337615966797,
2023-10-05,134.26478576660156,
2023-10-06,136.7598114013672,
2023-10-09,137.59478759765625,
2023-10-10,137.23692321777344,
2023-10-11,139.71209716796875,
2023-10-12,138.1415252685547,
2023-10-13,136.54112243652344,
2023-10-16,138.270751953125,
2023-10-17,138.88705444335938,
2023-10-18,137.13754272460938,
2023-10-19,136.92880249023438,
2023-10-20,134.79161071777344,
2023-10-23,135.68624877929688,
2023-10-24,137.9824676513672,
2023-10-25,124.86116790771484,
2023-10-26,121.55101776123048,
2023-10-27,121.4416732788086,
