Ticker,Date,Horizon,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast
AAPL,2023-04-21,180,163.1584930419922,164.7494843468397,152.58604897510938,164.77348761039977,
AAPL,2023-04-24,180,163.46499633789062,164.7865516751023,152.7846387763433,164.9250493386023,
AAPL,2023-04-25,180,161.9225616455078,164.86273207984215,152.67320134369234,164.86278738500275,
AAPL,2023-04-26,180,161.9126739501953,164.88081321537916,152.5293465615781,165.07949328584667,
AAPL,2023-04-27,180,166.51023864746094,164.8429507054454,152.31681652257774,165.01882835006236,
AAPL,2023-04-28,180,167.76589965820312,164.84297886900657,152.19558962231312,165.26841377678235,
AAPL,2023-05-01,180,167.67691040039062,164.8465493189603,151.96519851611947,165.14236041159066,
AAPL,2023-05-02,180,166.6387939453125,164.8499062205249,151.67428975917534,165.2980834610328,
AAPL,2023-05-03,180,165.56105041503906,164.84958680260547,151.81080278066958,165.24066753289966,
AAPL,2023-05-04,180,163.91978454589844,164.84812739030477,151.6426097865856,165.44206250931433,
AAPL,2023-05-05,180,171.612060546875,164.84822119885305,151.4483825781217,165.46802058460668,
AAPL,2023-05-08,180,171.54283142089844,164.84845140521497,151.1928832547807,165.55604568031364,
AAPL,2023-05-09,180,169.8323211669922,164.8485700101055,151.0370351239829,165.50410908362215,
AAPL,2023-05-10,180,171.60214233398438,164.8485186046781,150.78120841938522,165.64502047202902,
AAPL,2023-05-11,180,171.78997802734375,164.84846482881397,150.47474971442492,165.6552779144175,
AAPL,2023-05-12,180,170.8593292236328,164.84847459748642,150.60613369670384,165.86613869144006,
AAPL,2023-05-15,180,170.36427307128906,164.84848670515186,150.44357983123083,165.7759887830844,
AAPL,2023-05-16,180,170.36427307128906,164.84848982189035,150.2659007220485,165.8956698159334,
AAPL,2023-05-17,180,170.97811889648438,164.84848640207488,150.03777982662604,165.87119688894364,
AAPL,2023-05-18,180,173.31472778320312,164.84848459132382,149.91983537105992,166.04078545266182,
AAPL,2023-05-19,180,173.4236297607422,164.8484852939603,149.71190541789076,166.09816503234026,
AAPL,2023-05-22,180,172.47314453125,164.8484858446952,149.46258313406702,166.1558794927973,
AAPL,2023-05-23,180,169.85931396484375,164.8484858705063,149.6593808905455,166.13310544779588,
AAPL,2023-05-24,180,170.1365509033203,164.84848569036856,149.5693654917254,166.24587400031547,
AAPL,2023-05-25,180,171.275146484375,164.84848563951775,149.47003092391645,166.2832426484046,
AAPL,2023-05-26,180,173.6909637451172,164.8484856814583,149.32460567733452,166.46800479848469,
AAPL,2023-05-29,180,,164.8484857033395,149.29215072670948,166.40299754117626,
AAPL,2023-05-30,180,175.5424346923828,164.84848569941573,149.1708822174798,166.4984548465787,
AAPL,2023-05-31,180,175.49290466308594,164.8484856911234,149.0077468841278,166.49731805615042,
AAPL,2023-06-01,180,178.3047637939453,164.84848569029612,149.2886277242856,166.64442429303773,
AAPL,2023-06-02,180,179.15621948242188,164.84848569250246,149.27902106394762,166.7234641246855,
AAPL,2023-06-05,180,177.79983520507812,164.8484856932372,149.25495021892374,166.76031084598708,
AAPL,2023-06-06,180,177.4334716796875,164.84848569286078,149.17831163634898,166.7576409701129,
AAPL,2023-06-07,180,176.05726623535156,164.84848569251983,149.20700847827715,166.85104092414997,
AAPL,2023-06-08,180,178.77999877929688,164.84848569254754,149.13830465210722,166.9070694797856,
AAPL,2023-06-09,180,179.16616821289062,164.84848569265233,149.0184263838823,167.07385449560607,
AAPL,2023-06-12,180,181.96807861328125,164.84848569267035,149.33278806704425,167.02616659537622,
AAPL,2023-06-13,180,181.49285888671875,164.84848569264662,149.34668289435464,167.1049382516112,
AAPL,2023-06-14,180,182.12648010253903,164.84848569263426,149.33620303305503,167.11987658796338,
AAPL,2023-06-15,180,184.16607666015625,164.84848569263815,149.26358497862904,167.25149588076272,
AAPL,2023-06-16,180,183.0868988037109,164.84848569264267,149.28733500570658,167.34545599553155,
AAPL,2023-06-19,180,,164.84848569264273,149.20556788481247,167.3679283611339,
AAPL,2023-06-20,180,183.1759796142578,164.84848569264147,149.06558632885643,167.37910688877366,
AAPL,2023-06-21,180,182.1363983154297,164.8484856926411,149.3540784643132,167.45916514705064,
AAPL,2023-06-22,180,185.14627075195312,164.8484856926414,149.337774576635,167.52804723091083,
AAPL,2023-06-23,180,184.82945251464844,164.84848569264156,149.294328790965,167.68244902418837,
AAPL,2023-06-26,180,183.4334411621093,164.84848569264153,149.18762235880868,167.64669124913405,
AAPL,2023-06-27,180,186.1957397460937,164.84848569264147,149.1778446099485,167.71396929890085,
AAPL,2023-06-28,180,187.3739624023437,164.84848569264147,149.06478595255484,167.73998069506493,
AAPL,2023-06-29,180,187.7106170654297,164.8484856926415,148.89737163902868,167.8609320870671,
AAPL,2023-06-30,180,192.0471649169922,164.8484856926415,149.16381485023626,167.9651697682317,
AAPL,2023-07-03,180,190.55213928222656,164.8484856926415,149.13223157386838,167.97774061965373,
AAPL,2023-07-04,180,,164.8484856926415,149.08148409804926,167.99845836886476,
AAPL,2023-07-05,180,189.433349609375,164.8484856926415,148.97645085180343,168.0693264420318,
AAPL,2023-07-06,180,189.90858459472656,164.8484856926415,148.97807958345348,168.14706244565093,
AAPL,2023-07-07,180,188.7897491455078,164.8484856926415,148.886659036013,168.2929342807002,
AAPL,2023-07-10,180,186.7403106689453,164.8484856926415,148.75133843546067,168.26539435597172,
AAPL,2023-07-11,180,186.21554565429688,164.8484856926415,149.0602737480689,168.3247552434066,
AAPL,2023-07-12,180,187.8888092041016,164.8484856926415,149.08124337964313,168.3583941159672,
AAPL,2023-07-13,180,188.6511688232422,164.8484856926415,149.09250012281748,168.47199711801088,
AAPL,2023-07-14,180,188.7996826171875,164.8484856926415,149.05805685720554,168.5833143143617,
AAPL,2023-07-17,180,192.0669708251953,164.8484856926415,149.13776256113107,168.58906468734492,
AAPL,2023-07-18,180,191.80953979492188,164.8484856926415,149.13060316822228,168.61635335630265,
AAPL,2023-07-19,180,193.1659698486328,164.8484856926415,149.08425578303698,168.68089093715815,
