Date,Actual,SARIMA_Forecast
2023-04-21,133.80795288085938,134.5320182733692
2023-04-24,133.98886108398438,134.55095828429205
2023-04-25,131.07542419433594,134.66341012948845
2023-04-26,128.75230407714844,134.6778447440718
2023-04-27,130.48512268066406,134.68884844516074
2023-04-28,131.61813354492188,134.8096537296212
2023-05-01,134.43630981445312,134.79073728121682
2023-05-02,132.26556396484375,134.84876515608627
2023-05-03,129.4663848876953,134.869961118366
2023-05-04,127.69547271728516,134.896845569362
2023-05-05,130.1899871826172,135.00417161234301
2023-05-08,130.50418090820312,134.98372136713746
2023-05-09,129.8757781982422,135.0396025345155
2023-05-10,129.9424285888672,135.06107718165177
2023-05-11,129.53302001953125,135.0885848294216
2023-05-12,127.67643737792967,135.19537917635336
2023-05-15,128.75230407714844,135.17486923381537
2023-05-16,127.88591003417967,135.23066688757646
2023-05-17,131.8180694580078,135.25215224551806
2023-05-18,132.81776428222656,135.27968421599945
2023-05-19,132.51309204101562,135.38645778520467
2023-05-22,131.41819763183594,135.36594551540367
2023-05-23,130.04718017578125,135.42173987663173
2023-05-24,128.85704040527344,135.44322565466533
2023-05-25,129.17124938964844,135.4707585829116
2023-05-26,130.38038635253906,135.577531336705
2023-05-29,,135.55701897484852
2023-05-30,130.87547302246094,135.61281320729873
2023-05-31,129.2093048095703,135.63429900193245
2023-06-01,130.98974609375,135.66183196763578
2023-06-02,133.74131774902344,135.76860468944574
2023-06-05,132.42739868164062,135.7480923240039
2023-06-06,132.6654510498047,135.80388655140368
2023-06-07,133.9507598876953,135.82537234668297
2023-06-08,133.98886108398438,135.85290531385613
2023-06-09,134.2554473876953,135.95967803441306
2023-06-12,134.2459259033203,135.93916566883016
2023-06-13,135.21705627441406,135.99495989603182
2023-06-14,134.71246337890625,136.01644569133651
2023-06-15,136.23580932617188,136.0439786585673
2023-06-16,136.39764404296875,136.15075137907507
2023-06-19,,136.13023901348666
2023-06-20,135.70263671875,136.18603324068053
2023-06-21,135.502685546875,136.20751903598625
2023-06-22,132.89393615722656,136.2350520032193
2023-06-23,132.19891357421875,136.34182472372515
2023-06-26,132.52259826660156,136.3213123581365
2023-06-27,132.5321502685547,136.37710658533007
2023-06-28,131.95138549804688,136.39859238063585
2023-06-29,136.5595245361328,136.42612534786903
2023-06-30,138.47323608398438,136.53289806837478
2023-07-03,139.5872039794922,136.51238570278616
2023-07-04,,136.56817992997975
2023-07-05,138.65731811523438,136.5896657252855
2023-07-06,137.28646850585938,136.61719869251866
2023-07-07,138.3697052001953,136.72397141302443
2023-07-10,139.1461944580078,136.70345904743579
2023-07-11,141.3223114013672,136.75925327462934
2023-07-12,142.02212524414062,136.78073906993512
2023-07-13,142.7123260498047,136.80827203716828
2023-07-14,143.5751190185547,136.91504475767405
2023-07-17,147.0358123779297,136.8945323920854
2023-07-18,147.30422973632812,136.95032661927897
2023-07-19,147.86981201171875,136.97181241458475
2023-07-20,149.69125366210938,136.9993453818179
2023-07-21,148.54086303710938,137.10611810232368
2023-07-24,151.46470642089844,137.08560573673503
2023-07-25,150.33352661132812,137.1413999639286
2023-07-26,151.23463439941406,137.16288575923437
2023-07-27,149.56661987304688,137.19041872646753
2023-07-28,150.41981506347656,137.2971914469733
2023-07-31,151.42636108398438,137.27667908138466
2023-08-01,150.6786346435547,137.33247330857822
2023-08-02,148.97227478027344,137.353959103884
2023-08-03,149.88296508789062,137.38149207111715
2023-08-04,149.56661987304688,137.48826479162292
2023-08-07,150.2760009765625,137.46775242603428
2023-08-08,149.43238830566406,137.52354665322784
2023-08-09,147.4288330078125,137.54503244853362
2023-08-10,147.20835876464844,137.57256541576677
2023-08-11,148.0615234375,137.67933813627255
2023-08-14,148.36831665039062,137.6588257706839
2023-08-15,144.59127807617188,137.71461999787746
2023-08-16,143.9777374267578,137.73610579318324
2023-08-17,142.48226928710938,137.7636387604164
2023-08-18,142.80821228027344,137.87041148092217
2023-08-21,143.297119140625,137.84989911533353
2023-08-22,140.32533264160156,137.9056933425271
2023-08-23,141.27439880371094,137.92717913783287
2023-08-24,141.1401824951172,137.95471210506602
2023-08-25,140.96763610839844,138.0614848255718
2023-08-28,141.45651245117188,138.04097245998315
2023-08-29,142.6068878173828,138.0967666871767
2023-08-30,142.03172302246094,138.1182524824825
2023-08-31,140.2774200439453,138.14578544971565
2023-09-01,140.74713134765625,138.25255817022142
2023-09-04,,138.23204580463278
2023-09-05,139.1941375732422,138.28784003182633
2023-09-06,138.96408081054688,138.3093258271321
2023-09-07,137.77536010742188,138.33685879436527
2023-09-08,137.88082885742188,138.44363151487104
2023-09-11,138.48477172851562,138.4231191492824
2023-09-12,140.28700256347656,138.47891337647596
2023-09-13,140.35409545898438,138.50039917178174
2023-09-14,143.07664489746094,138.5279321390149
2023-09-15,142.6548309326172,138.63470485952067
2023-09-18,142.95199584960938,138.61419249393202
2023-09-19,142.7698516845703,138.66998672112558
2023-09-20,142.16592407226562,138.69147251643136
2023-09-21,141.05392456054688,138.71900548366452
2023-09-22,139.7021942138672,138.8257782041703
2023-09-25,140.39244079589844,138.80526583858165
2023-09-26,138.935302734375,138.8610600657752
2023-09-27,139.75015258789062,138.88254586108098
2023-09-28,141.4852752685547,138.91007882831414
2023-09-29,139.02159118652344,139.01685154881991
2023-10-02,137.8232879638672,138.99633918323127
2023-10-03,136.80714416503906,139.05213341042483
2023-10-04,137.42068481445312,139.0736192057306
2023-10-05,138.00009155273438,139.10115217296376
2023-10-06,140.12466430664062,139.20792489346954
2023-10-09,139.80596923828125,139.1874125278809
2023-10-10,140.65579223632812,139.24320675507445
2023-10-11,141.13865661621094,139.26469255038023
2023-10-12,140.810302734375,139.2922255176134
2023-10-13,142.92523193359375,139.39899823811916
2023-10-16,142.78038024902344,139.37848587253052
2023-10-17,142.47134399414062,139.43428009972408
2023-10-18,140.90689086914062,139.45576589502986
2023-10-19,140.30812072753906,139.483298862263
2023-10-20,138.0483856201172,139.5900715827688
2023-10-23,136.1652374267578,139.56955921718014
2023-10-24,136.3294219970703,139.6253534443737
2023-10-25,135.5858154296875,139.64683923967948
2023-10-26,135.9334716796875,139.67437220691264
2023-10-27,131.03733825683594,139.7811449274184
2023-10-30,132.70797729492188,139.76063256182977
2023-10-31,134.29176330566406,139.81642678902332
2023-11-01,134.17588806152344,139.8379125843291
2023-11-02,136.5708465576172,139.86544555156226
2023-11-03,138.09664916992188,139.97221827206803
2023-11-06,139.1396484375,139.9517059064794
2023-11-07,139.07203674316406,140.00750013367295
2023-11-08,139.75770568847656,140.02898592897873
2023-11-09,139.34242248535156,140.05651889621188
2023-11-10,141.40904235839844,140.16329161671766
2023-11-13,140.7813262939453,140.142779251129
2023-11-14,143.3501434326172,140.19857347832257
