Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast,Ensemble_Forecast
2023-06-12,18601.5,17604.34982821143,17729.12332121635,17746.482330370178,,17693.318493265986
2023-06-13,18716.150390625,17604.349828058752,17744.2790461625,17741.70798545966,,17696.77895322697
2023-06-14,18755.900390625,17604.349828026105,17727.274864502167,17753.57486012021,,17695.066517549494
2023-06-15,18688.099609375,17604.34982800725,17747.89551177713,17762.83314790114,,17705.02616256184
2023-06-16,18826.0,17604.34982797224,17759.323356213183,17766.064589420042,,17709.91259120182
2023-06-19,18755.44921875,17604.349827944283,17775.96239340312,17765.611081207648,,17715.30776751835
2023-06-20,18816.69921875,17604.34982793204,17761.721869376954,17762.518363723808,,17709.530020344268
2023-06-21,18856.849609375,17604.349827929436,17804.90951005674,17772.73615003001,,17727.33182933873
2023-06-22,18771.25,17604.349827927374,17809.25723795152,17783.666989816626,,17732.424685231843
2023-06-23,18665.5,17604.349827924096,17781.038352335232,17785.258182489026,,17723.548787582782
2023-06-26,18691.19921875,17604.349827921673,17790.27591845078,17786.46819996083,,17727.031315444427
2023-06-27,18817.400390625,17604.349827920698,17790.388678943884,17781.744025888132,,17725.494177584238
2023-06-28,18972.099609375,17604.34982792048,17796.0100879873,17793.61636033143,,17731.32542541307
2023-06-29,,17604.34982792026,17771.267213096995,17802.924488721168,,17726.180509912807
2023-06-30,19189.05078125,17604.34982791996,17804.669588707155,17806.16130049271,,17738.393572373272
2023-07-03,19322.55078125,17604.349827919752,17800.1309989468,17805.757304951956,,17736.746043939504
2023-07-04,19389.0,17604.349827919676,17764.08325062645,17802.66986919657,,17723.700982580896
2023-07-05,19398.5,17604.349827919657,17766.681752909866,17812.93684244932,,17727.989474426282
2023-07-06,19497.30078125,17604.349827919636,17761.449272318314,17823.872876364043,,17729.89065886733
2023-07-07,19331.80078125,17604.349827919606,17763.093502246706,17825.512932453406,,17730.98542087324
2023-07-10,19355.900390625,17604.34982791959,17735.78521318289,17826.72805737555,,17722.287699492674
2023-07-11,19439.400390625,17604.34982791958,17768.04707102294,17822.052425380905,,17731.48310810781
2023-07-12,19384.30078125,17604.34982791958,17763.776086508427,17833.92978150592,,17734.01856531131
2023-07-13,19413.75,17604.349827919577,17729.35872523066,17843.28613280455,,17725.664895318263
2023-07-14,19564.5,17604.349827919574,17734.878446986957,17846.527881390015,,17728.585385432183
2023-07-17,19711.44921875,17604.349827919574,17733.761980771105,17846.171791744287,,17728.09453347832
2023-07-18,19749.25,17604.349827919574,17740.59989935042,17843.089208828507,,17729.346312032834
2023-07-19,19833.150390625,17604.349827919574,17719.428173655833,17853.40377310243,,17725.727258225947
2023-07-20,19979.150390625,17604.349827919574,17758.620700084648,17864.34457676737,,17742.438368257197
2023-07-21,19745.0,17604.349827919574,17761.91566369211,17866.03191112925,,17744.09913424698
2023-07-24,19672.349609375,17604.349827919574,17735.534663634233,17867.251723589146,,17735.712071714315
2023-07-25,19680.599609375,17604.349827919574,17749.39426627661,17862.623059228947,,17738.78905114171
2023-07-26,19778.30078125,17604.349827919574,17756.756191335786,17874.505021548208,,17745.203680267852
2023-07-27,19659.900390625,17604.349827919574,17772.051599159557,17883.908031939158,,17753.43648633943
2023-07-28,19646.05078125,17604.349827919574,17759.16607107012,17887.154306236407,,17750.223401742034
2023-07-31,19753.80078125,17604.349827919574,17806.335197309323,17886.844569222365,,17765.84319815042
2023-08-01,19733.55078125,17604.349827919574,17817.17356868502,17883.766432389137,,17768.42994299791
2023-08-02,19526.55078125,17604.349827919574,17797.796044647905,17894.1270449012,,17765.424305822893
2023-08-03,19381.650390625,17604.349827919574,17818.030924023584,17905.07221586493,,17775.81765593603
2023-08-04,19517.0,17604.349827919574,17831.07119979156,17906.805296124232,,17780.74210794512
2023-08-07,19597.30078125,17604.349827919574,17851.29935759621,17908.02939793692,,17787.8928611509
2023-08-08,19570.849609375,17604.349827919574,17842.572316958856,17903.446179172068,,17783.45610801683
2023-08-09,19632.55078125,17604.349827919574,17893.116451710885,17915.332353728252,,17804.26621111957
2023-08-10,19543.099609375,17604.349827919574,17906.555521735354,17924.780511437042,,17811.895287030657
2023-08-11,19428.30078125,17604.349827919574,17889.03043742491,17928.030921677935,,17807.137062340807
2023-08-14,19434.55078125,17604.349827919574,17910.41054280592,17927.766035714812,,17814.175468813435
2023-08-15,,17604.349827919574,17923.9426675499,17924.691959347016,,17817.66148493883
2023-08-16,19465.0,17604.349827919574,17944.073483330307,17935.097128639787,,17827.840146629886
