Date,Actual,ARIMA_Forecast,Prophet_Forecast
2023-04-21,17624.05078125,17618.967769418967,17706.120069555865
2023-04-24,17743.400390625,17613.438852121835,17733.214454979192
2023-04-25,17769.25,17608.754858678796,17721.548307797104
2023-04-26,17813.599609375,17605.830217615192,17677.53330764229
2023-04-27,17915.05078125,17606.16116030389,17671.325732123845
2023-04-28,18065.0,17605.661313844026,17656.47139065109
2023-05-01,,17605.13951056979,17647.723752116606
2023-05-02,18147.650390625,17604.704541587012,17609.321999509542
2023-05-03,18089.849609375,17604.496822550464,17629.879084319342
2023-05-04,18255.80078125,17604.513519261956,17613.40274852367
2023-05-05,18069.0,17604.46708448168,17566.408567831346
2023-05-08,18264.400390625,17604.417525475717,17559.124828254884
2023-05-09,18265.94921875,17604.37894855086,17545.135603678325
2023-05-10,18315.099609375,17604.36411136437,17539.197676360356
2023-05-11,18297.0,17604.36464421047,17505.518073200965
2023-05-12,18314.80078125,17604.36025158272,17532.642315633577
2023-05-15,18398.849609375,17604.355581410946,17524.476360237328
2023-05-16,18286.5,17604.35226302586,17487.401276768695
2023-05-17,18181.75,17604.35119634378,17491.480452257223
2023-05-18,18129.94921875,17604.35116897045,17490.105649178848
2023-05-19,18203.400390625,17604.350748468016,17497.817504405335
2023-05-22,18314.400390625,17604.350314343843,17478.58717197118
2023-05-23,18348.0,17604.350035076368,17520.709124610898
2023-05-24,18285.400390625,17604.349957740153,17527.82799690435
2023-05-25,18321.150390625,17604.349949113595,17506.058413212922
2023-05-26,18499.349609375,17604.34990867973,17525.197478623213
2023-05-29,18598.650390625,17604.349868937676,17538.376146134568
2023-05-30,18633.849609375,17604.349845821747,17559.884930354812
2023-05-31,18534.400390625,17604.349840144987,17553.460555435373
2023-06-01,18487.75,17604.3498388417,17607.1834407937
2023-06-02,18534.099609375,17604.3498349607,17624.50880266959
2023-06-05,18593.849609375,17604.349831377036,17611.390219098987
2023-06-06,18599.0,17604.3498294885,17637.495252491477
2023-06-07,18726.400390625,17604.3498290639,17655.859272678048
2023-06-08,18634.55078125,17604.349828900253,17680.712895768953
2023-06-09,18563.400390625,17604.349828530027,17675.76958847753
2023-06-12,18601.5,17604.34982821143,17729.12332121635
2023-06-13,18716.150390625,17604.349828058752,17744.2790461625
2023-06-14,18755.900390625,17604.349828026105,17727.274864502167
2023-06-15,18688.099609375,17604.34982800725,17747.89551177713
2023-06-16,18826.0,17604.34982797224,17759.323356213183
2023-06-19,18755.44921875,17604.349827944283,17775.96239340312
2023-06-20,18816.69921875,17604.34982793204,17761.721869376954
2023-06-21,18856.849609375,17604.349827929436,17804.90951005674
2023-06-22,18771.25,17604.349827927374,17809.25723795152
2023-06-23,18665.5,17604.349827924096,17781.038352335232
2023-06-26,18691.19921875,17604.349827921673,17790.27591845078
2023-06-27,18817.400390625,17604.349827920698,17790.388678943884
2023-06-28,18972.099609375,17604.34982792048,17796.0100879873
2023-06-29,,17604.34982792026,17771.267213096995
2023-06-30,19189.05078125,17604.34982791996,17804.669588707155
2023-07-03,19322.55078125,17604.349827919752,17800.1309989468
2023-07-04,19389.0,17604.349827919676,17764.08325062645
2023-07-05,19398.5,17604.349827919657,17766.681752909866
2023-07-06,19497.30078125,17604.349827919636,17761.449272318314
2023-07-07,19331.80078125,17604.349827919606,17763.093502246706
2023-07-10,19355.900390625,17604.34982791959,17735.78521318289
2023-07-11,19439.400390625,17604.34982791958,17768.04707102294
2023-07-12,19384.30078125,17604.34982791958,17763.776086508427
2023-07-13,19413.75,17604.349827919577,17729.35872523066
2023-07-14,19564.5,17604.349827919574,17734.878446986957
2023-07-17,19711.44921875,17604.349827919574,17733.761980771105
2023-07-18,19749.25,17604.349827919574,17740.59989935042
2023-07-19,19833.150390625,17604.349827919574,17719.428173655833
2023-07-20,19979.150390625,17604.349827919574,17758.620700084648
2023-07-21,19745.0,17604.349827919574,17761.91566369211
2023-07-24,19672.349609375,17604.349827919574,17735.534663634233
2023-07-25,19680.599609375,17604.349827919574,17749.39426627661
2023-07-26,19778.30078125,17604.349827919574,17756.756191335786
2023-07-27,19659.900390625,17604.349827919574,17772.051599159557
2023-07-28,19646.05078125,17604.349827919574,17759.16607107012
2023-07-31,19753.80078125,17604.349827919574,17806.335197309323
2023-08-01,19733.55078125,17604.349827919574,17817.17356868502
2023-08-02,19526.55078125,17604.349827919574,17797.796044647905
2023-08-03,19381.650390625,17604.349827919574,17818.030924023584
2023-08-04,19517.0,17604.349827919574,17831.07119979156
2023-08-07,19597.30078125,17604.349827919574,17851.29935759621
2023-08-08,19570.849609375,17604.349827919574,17842.572316958856
2023-08-09,19632.55078125,17604.349827919574,17893.116451710885
2023-08-10,19543.099609375,17604.349827919574,17906.555521735354
2023-08-11,19428.30078125,17604.349827919574,17889.03043742491
2023-08-14,19434.55078125,17604.349827919574,17910.41054280592
2023-08-15,,17604.349827919574,17923.9426675499
2023-08-16,19465.0,17604.349827919574,17944.073483330307
2023-08-17,19365.25,17604.349827919574,17934.731843881145
2023-08-18,19310.150390625,17604.349827919574,17984.22112785696
2023-08-21,19393.599609375,17604.349827919574,17996.24449890329
2023-08-22,19396.44921875,17604.349827919574,17977.022084012384
2023-08-23,19444.0,17604.349827919574,17996.499830835593
2023-08-24,19386.69921875,17604.349827919574,18007.99636185078
2023-08-25,19265.80078125,17604.349827919574,18026.02341960642
2023-08-28,19306.05078125,17604.349827919574,18014.566630677153
2023-08-29,19342.650390625,17604.349827919574,18061.9766439863
2023-08-30,19347.44921875,17604.349827919574,18071.99358186443
2023-08-31,19253.80078125,17604.349827919574,18050.86381580299
2023-09-01,19435.30078125,17604.349827919574,18068.548825305694
2023-09-04,19528.80078125,17604.349827919574,18078.372442615608
2023-09-05,19574.900390625,17604.349827919574,18094.84205029153
2023-09-06,19611.05078125,17604.349827919574,18081.930420932338
2023-09-07,19727.05078125,17604.349827919574,18127.96820668124
2023-09-08,19819.94921875,17604.349827919574,18136.66996082962
2023-09-11,19996.349609375,17604.349827919574,18114.25264130127
2023-09-12,19993.19921875,17604.349827919574,18130.646288175325
2023-09-13,20070.0,17604.349827919574,18139.14310989205
2023-09-14,20103.099609375,17604.349827919574,18154.220477291063
2023-09-15,20192.349609375,17604.349827919574,18139.824449456108
2023-09-18,20133.30078125,17604.349827919574,18184.263778253822
2023-09-19,,17604.349827919574,18191.237219651157
2023-09-20,19901.400390625,17604.349827919574,18166.953055581464
2023-09-21,19742.349609375,17604.349827919574,18181.340482168074
2023-09-22,19674.25,17604.349827919574,18187.699073407464
2023-09-25,19674.55078125,17604.349827919574,18200.521805503606
2023-09-26,19664.69921875,17604.349827919574,18183.778263885426
2023-09-27,19716.44921875,17604.349827919574,18225.807989907837
2023-09-28,19523.55078125,17604.349827919574,18230.346817148908
2023-09-29,19638.30078125,17604.349827919574,18203.645133914124
2023-10-02,,17604.349827919574,18215.677770549184
2023-10-03,19528.75,17604.349827919574,18219.791772044555
2023-10-04,19436.099609375,17604.349827919574,18230.527599446694
2023-10-05,19545.75,17604.349827919574,18211.90044550875
2023-10-06,19653.5,17604.349827919574,18252.291688029458
2023-10-09,19512.349609375,17604.349827919574,18255.47339815613
2023-10-10,19689.849609375,17604.349827919574,18227.724906364943
2023-10-11,19811.349609375,17604.349827919574,18239.04118742302
2023-10-12,19794.0,17604.349827919574,18242.779382064266
2023-10-13,19751.05078125,17604.349827919574,18253.479048801957
2023-10-16,19731.75,17604.349827919574,18235.142872198143
2023-10-17,19811.5,17604.349827919574,18276.1278815001
2023-10-18,19671.099609375,17604.349827919574,18280.17011586226
2023-10-19,19624.69921875,17604.349827919574,18253.501745532703
