Date,Actual,ARIMA_Forecast,Prophet_Forecast
2023-04-21,165.0800018310547,163.8806630212112,208.82395670092436
2023-04-24,162.5500030517578,163.437261390704,208.6794322766145
2023-04-25,160.6699981689453,163.30816655167044,208.42809984745412
2023-04-26,153.75,161.9526092368121,209.33991390279346
2023-04-27,160.19000244140625,162.44412564982096,208.25142520284498
2023-04-28,164.30999755859375,162.35768329265161,207.9795548549414
2023-05-01,161.8300018310547,162.37137142740832,207.20286861190846
2023-05-02,160.30999755859375,162.26010157430107,206.3786919403347
2023-05-03,160.61000061035156,162.33306034433818,205.88143364653857
2023-05-04,161.1999969482422,162.31182130853915,205.24735896695233
2023-05-05,170.05999755859375,162.31683054766654,205.75402449976474
2023-05-08,171.7899932861328,162.30673947044923,204.2466113705687
2023-05-09,169.14999389648438,162.31552361572815,203.55145255199753
2023-05-10,168.5399932861328,162.31181680339154,202.35703563936346
2023-05-11,172.0800018310547,162.31294618367667,201.13082984003694
2023-05-12,167.97999572753906,162.3118981054385,200.2573136394598
2023-05-15,166.35000610351562,162.31289153405407,199.28245292939343
2023-05-16,166.52000427246094,162.31235339733482,199.49285079194792
2023-05-17,173.86000061035156,162.31255809925287,197.74181382322823
2023-05-18,176.88999938964844,162.3124312750598,196.8626388303644
2023-05-19,180.13999938964844,162.3125433693642,195.54940830689725
2023-05-22,188.8699951171875,162.31247239518973,194.27364952796785
2023-05-23,185.7700042724609,162.31250469948202,193.42223861603793
2023-05-24,182.8999938964844,162.31248762945893,192.54180291453244
2023-05-25,184.47000122070312,162.31250070522222,192.91784497896717
2023-05-26,193.1699981689453,162.31249177417888,191.40083369321306
2023-05-29,,162.31249643381668,190.81956546518387
2023-05-30,201.1600036621093,162.31249404164467,189.86208155716068
2023-05-31,203.92999267578125,162.31249564186948,188.9924926496186
2023-06-01,207.5200042724609,162.3124945357858,188.58908697243027
2023-06-02,213.97000122070312,162.3124951705063,188.18896920535877
2023-06-05,217.6100006103516,162.3124948358276,189.067446392124
2023-06-06,221.3099975585937,162.31249504029407,188.06439859603503
2023-06-07,224.57000732421875,162.3124949027946,187.9979289930513
2023-06-08,234.8600006103516,162.31249498635802,187.54557096925063
2023-06-09,244.3999938964844,162.31249494036288,187.16139485808333
2023-06-12,249.8300018310547,162.312494967222,187.21438246462665
2023-06-13,258.7099914550781,162.31249494989135,187.2333089122636
2023-06-14,256.7900085449219,162.3124949607032,188.48634113515234
2023-06-15,255.8999938964844,162.31249495450604,187.80758477204964
2023-06-16,260.5400085449219,162.31249495807722,188.010869305968
2023-06-19,,162.31249495585766,187.7710454248977
2023-06-20,274.45001220703125,162.3124949572483,187.54113500634725
2023-06-21,259.4599914550781,162.31249495642658,187.69070105810204
2023-06-22,264.6099853515625,162.31249495690213,187.75067776876344
2023-06-23,256.6000061035156,162.31249495661413,188.99287201483415
2023-06-26,241.0500030517578,162.3124949567932,188.2563714385694
2023-06-27,250.2100067138672,162.31249495668538,188.3611535250746
2023-06-28,256.239990234375,162.31249495674848,187.98917531700528
2023-06-29,257.5,162.3124949567108,187.60129073376683
2023-06-30,261.7699890136719,162.31249495673396,187.57537008858773
2023-07-03,279.82000732421875,162.3124949567199,187.45086969017282
2023-07-04,,162.31249495672822,188.50807084419318
2023-07-05,282.4800109863281,162.31249495672327,187.5942313287875
2023-07-06,276.5400085449219,162.31249495672628,187.53695148282412
2023-07-07,274.42999267578125,162.31249495672446,187.02504177259593
2023-07-10,269.6099853515625,162.31249495672554,186.52524533166803
2023-07-11,269.7900085449219,162.3124949567249,186.42019570081865
2023-07-12,271.989990234375,162.3124949567253,186.25286222813006
2023-07-13,277.8999938964844,162.31249495672506,187.30570582427566
2023-07-14,281.3800048828125,162.3124949567252,186.42679023795827
2023-07-17,290.3800048828125,162.31249495672512,186.4431517355375
2023-07-18,293.3399963378906,162.31249495672517,186.04171343624046
2023-07-19,291.260009765625,162.31249495672515,185.6860958507593
2023-07-20,262.8999938964844,162.31249495672517,185.75470063875727
2023-07-21,260.0199890136719,162.31249495672517,185.7853156760122
2023-07-24,269.0599975585937,162.31249495672517,187.0544587406242
2023-07-25,265.2799987792969,162.31249495672517,186.40369875393725
2023-07-26,264.3500061035156,162.31249495672517,186.6532505848104
2023-07-27,255.7100067138672,162.31249495672517,186.4831223643298
2023-07-28,266.44000244140625,162.31249495672517,186.35015935474235
2023-07-31,267.42999267578125,162.31249495672517,186.6263539194914
2023-08-01,261.07000732421875,162.31249495672517,186.8436624845393
2023-08-02,254.1100006103516,162.31249495672517,188.27354009226943
2023-08-03,259.32000732421875,162.31249495672517,187.75342547558972
2023-08-04,253.8600006103516,162.31249495672517,188.10046753908458
2023-08-07,251.4499969482422,162.31249495672517,187.99276811649804
2023-08-08,249.6999969482422,162.31249495672517,187.886482139517
2023-08-09,242.19000244140625,162.31249495672517,188.15414311345472
2023-08-10,245.33999633789065,162.31249495672517,188.3294544454025
2023-08-11,242.6499938964844,162.31249495672517,189.68675819652907
2023-08-14,239.759994506836,162.31249495672517,189.06741643902478
2023-08-15,232.9600067138672,162.31249495672517,189.2933995671579
2023-08-16,225.6000061035156,162.31249495672517,189.04836099385494
2023-08-17,219.22000122070312,162.31249495672517,188.79454488480872
2023-08-18,215.4900054931641,162.31249495672517,188.91090112311906
2023-08-21,231.27999877929688,162.31249495672517,188.93765492900522
2023-08-22,233.19000244140625,162.31249495672517,190.15554994960354
2023-08-23,236.8600006103516,162.31249495672517,189.41200737832892
2023-08-24,230.0399932861328,162.31249495672517,189.5345027345795
