Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast
2023-08-25,177.0782470703125,174.9752492686489,170.12883329011186,175.0925657810838
2023-08-28,178.6446990966797,175.12930535467606,170.32829401801595,175.31281452136304
2023-08-29,182.5409698486328,175.2631058665835,170.279131775427,175.27030151086933
2023-08-30,186.0406951904297,175.3209279056785,170.23649750306768,175.50380127284876
2023-08-31,186.25880432128903,175.17681207166066,170.01184771680047,175.43417854854442
2023-09-01,187.835189819336,175.18445368456318,169.98559254625417,175.65362211738682
2023-09-04,,175.19389880714502,169.8177110237173,175.57399341430295
2023-09-05,188.0731201171875,175.19972650156248,169.60456458576658,175.6725310711222
2023-09-06,181.3413543701172,175.19943632013909,169.71606500274584,175.66704533113722
2023-09-07,176.03724670410156,175.19502178632564,169.58174159863822,175.82831130243866
2023-09-08,176.6519012451172,175.19546638513907,169.45735529391382,175.9107791093849
2023-09-11,177.82180786132812,175.19592703708142,169.15492575114737,175.9481419698388
2023-09-12,174.78805541992188,175.19612163045247,169.05537970084748,175.93906372373576
2023-09-13,172.71597290039062,175.1960432354651,168.8191677342297,176.0282461880823
2023-09-14,174.2328643798828,175.19591004609015,168.54308023163776,176.1047013053716
2023-09-15,173.50909423828125,175.19593326842133,168.59741832310394,176.26461532442224
2023-09-18,176.4437255859375,175.1959529493545,168.412064413793,176.2322726638244
2023-09-19,177.53431701660156,175.1959581295676,168.24309948010446,176.28579054938643
2023-09-20,173.98500061035156,175.1959534379754,167.9028331060999,176.31868548808723
2023-09-21,172.43836975097656,175.19594955433195,167.77245405733962,176.44572749295037
2023-09-22,173.29098510742188,175.19595067201828,167.5126484399808,176.56020361024102
2023-09-25,174.56991577148438,175.1959514361706,167.2204159267159,176.56869144306825
2023-09-26,170.4852752685547,175.1959515274145,167.2662398187093,176.5855165484211
2023-09-27,168.9683837890625,175.19595131085543,167.0801554147196,176.6513845336791
2023-09-28,169.2261505126953,175.1959512045296,166.91836390066516,176.7487956484576
2023-09-29,169.74168395996094,175.195951254796,166.59325780667766,176.88989971212675
2023-10-02,172.25990295410156,175.19595128213498,166.48606597393527,176.87445851601174
2023-10-03,170.9214630126953,175.1959512814117,166.25746528774965,176.91278724192313
2023-10-04,172.17068481445312,175.1959512725793,166.0043899233739,176.95933115608213
2023-10-05,173.4099884033203,175.19595126999593,166.0971941856677,177.07410769721764
2023-10-06,175.96783447265625,175.19595127212807,165.96571376159758,177.1996064633269
2023-10-09,177.45498657226562,175.19595127302892,165.86587296968818,177.19818884489925
2023-10-10,176.86012268066406,175.19595127285237,165.60970443344067,177.2239153924511
2023-10-11,178.2580108642578,175.19595127252063,165.5779894955547,177.281784155175
2023-10-12,179.1602325439453,175.19595127247345,165.43086698373884,177.3863837099786
2023-10-13,177.316162109375,175.19595127255928,165.26464139431235,177.5210279451668
2023-10-16,177.1873016357422,175.19595127258617,165.44894684628582,177.51139182265717
2023-10-17,175.63075256347656,175.19595127257463,165.41281183606654,177.54450386445086
