Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast,Ensemble_Forecast
2023-04-21,165.0800018310547,163.8806630212112,208.8239567009244,163.87497131846777,,178.85986368020113
2023-04-24,162.5500030517578,163.437261390704,208.6794322766145,162.50870135805832,,178.20846500845892
2023-04-25,160.6699981689453,163.30816655167044,208.4280998474541,161.73534690103935,,177.82387110005462
2023-04-26,153.75,161.9526092368121,209.33991390279343,162.3195674771569,,177.87069687225414
2023-04-27,160.19000244140625,162.44412564982096,208.25142520284496,162.72757639026878,,177.80770908097824
2023-04-28,164.30999755859375,162.3576832926516,207.9795548549414,162.92604093032122,,177.75442635930472
2023-05-01,161.8300018310547,162.37137142740832,207.20286861190849,162.34445626071232,,177.30623210000968
2023-05-02,160.30999755859375,162.26010157430107,206.3786919403347,161.39480382204252,,176.67786577889277
2023-05-03,160.61000061035156,162.33306034433818,205.88143364653857,162.0969380900153,,176.77047736029735
2023-05-04,161.1999969482422,162.31182130853915,205.24735896695236,161.83083963042503,,176.46333996863882
2023-05-05,170.05999755859375,162.31683054766654,205.75402449976477,162.2131198329455,,176.76132496012562
2023-05-08,171.7899932861328,162.30673947044923,204.2466113705687,161.6710727885837,,176.0748078765339
2023-05-09,169.14999389648438,162.31552361572815,203.55145255199756,160.8281144942563,,175.56503022066067
2023-05-10,168.5399932861328,162.31181680339154,202.35703563936343,161.59206174175978,,175.4203047281716
2023-05-11,172.0800018310547,162.31294618367667,201.1308298400369,161.42308007878145,,174.95561870083168
2023-05-12,167.97999572753906,162.3118981054385,200.2573136394598,161.8531280122457,,174.8074465857147
2023-05-15,166.35000610351562,162.31289153405407,199.28245292939343,161.36164501472032,,174.31899649272262
2023-05-16,166.52000427246094,162.31235339733482,199.49285079194792,160.55814540563986,,174.12111653164087
2023-05-17,173.86000061035156,162.31255809925287,197.74181382322823,161.3592130999208,,173.80452834080063
2023-05-18,176.88999938964844,162.3124312750598,196.8626388303644,161.22047692531928,,173.46518234358118
2023-05-19,180.13999938964844,162.3125433693642,195.54940830689725,161.67896700965397,,173.1803062286385
2023-05-22,188.8699951171875,162.31247239518973,194.27364952796785,161.21192125402462,,172.5993477257274
2023-05-23,185.7700042724609,162.31250469948202,193.42223861603796,160.43020764462767,,172.05498365338255
2023-05-24,182.8999938964844,162.31248762945893,192.54180291453244,161.25025255564847,,172.03484769987995
2023-05-25,184.47000122070312,162.31250070522222,192.9178449789672,161.12832117730375,,172.11955562049772
2023-05-26,193.1699981689453,162.31249177417888,191.40083369321303,161.60148054760694,,171.7716020049996
2023-05-29,,162.31249643381668,190.81956546518387,161.14735687561674,,171.42647292487243
2023-05-30,201.1600036621093,162.31249404164467,189.86208155716068,160.37697737153584,,170.8505176567804
2023-05-31,203.92999267578125,162.31249564186948,188.9924926496186,161.2069906033203,,170.83732629826946
2023-06-01,207.5200042724609,162.3124945357858,188.58908697243027,161.0938100166139,,170.66513050827666
2023-06-02,213.97000122070312,162.3124951705063,188.1889692053588,161.57466275422735,,170.6920423766975
2023-06-05,217.6100006103516,162.3124948358276,189.067446392124,161.12729643261068,,170.83574588685408
2023-06-06,221.3099975585937,162.31249504029407,188.06439859603503,160.36285503452115,,170.2465828902834
2023-06-07,224.57000732421875,162.3124949027946,187.9979289930513,161.19808483937894,,170.50283624507495
2023-06-08,234.8600006103516,162.31249498635802,187.54557096925063,161.08948791483127,,170.31585129014664
2023-06-09,244.3999938964844,162.31249494036288,187.16139485808333,161.5743675703756,,170.3494191229406
2023-06-12,249.8300018310547,162.312494967222,187.21438246462665,161.13053939429895,,170.2191389420492
2023-06-13,258.7099914550781,162.31249494989137,187.2333089122636,160.36920652637914,,169.97167012951138
2023-06-14,256.7900085449219,162.3124949607032,188.48634113515237,161.20716750566552,,170.6686678671737
2023-06-15,255.8999938964844,162.31249495450604,187.80758477204964,161.10097015378156,,170.40701662677907
2023-06-16,260.5400085449219,162.31249495807722,188.010869305968,161.58795807542114,,170.63710744648878
2023-06-19,,162.31249495585766,187.7710454248977,161.14598220412992,,170.40984086162845
2023-06-20,274.45001220703125,162.3124949572483,187.54113500634725,160.38627676523652,,170.0799689096107
2023-06-21,259.4599914550781,162.31249495642658,187.69070105810204,161.22566759300938,,170.40962120251265
2023-06-22,264.6099853515625,162.31249495690213,187.75067776876344,161.12072649975923,,170.39463307514163
2023-06-23,256.6000061035156,162.31249495661413,188.99287201483412,161.6088181628543,,170.97139504476752
2023-06-26,241.0500030517578,162.3124949567932,188.2563714385694,161.1678120333825,,170.5788928095817
2023-06-27,250.2100067138672,162.31249495668538,188.3611535250746,160.40895860433378,,170.36086902869792
2023-06-28,256.239990234375,162.31249495674848,187.98917531700528,161.24909800359382,,170.51692275911586
2023-06-29,257.5,162.3124949567108,187.60129073376683,161.14481460124264,,170.35286676390675
2023-06-30,261.7699890136719,162.31249495673396,187.57537008858773,161.6334841081437,,170.50711638448846
2023-07-03,279.82000732421875,162.3124949567199,187.4508696901728,161.19298566917803,,170.31878343869025
2023-07-04,,162.31249495672822,188.5080708441932,160.4345782943493,,170.41838136509026
2023-07-05,282.4800109863281,162.31249495672327,187.5942313287875,161.2751095944935,,170.39394529333478
