Ticker,Date,Horizon,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast
^NSEI,2023-04-21,180,17624.05078125,17618.967769418967,17706.120069555865,17622.805356189547,
^NSEI,2023-04-24,180,17743.400390625,17613.438852121835,17733.214454979192,17617.204830072133,
^NSEI,2023-04-25,180,17769.25,17608.754858678796,17721.548307797104,17610.787165392805,
^NSEI,2023-04-26,180,17813.599609375,17605.830217615192,17677.53330764229,17616.579725532913,
^NSEI,2023-04-27,180,17915.05078125,17606.16116030389,17671.325732123845,17627.220683410436,
^NSEI,2023-04-28,180,18065.0,17605.661313844026,17656.47139065109,17628.2158871234,
^NSEI,2023-05-01,180,,17605.13951056979,17647.723752116606,17629.010696728998,
^NSEI,2023-05-02,180,18147.650390625,17604.704541587012,17609.321999509542,17623.814536883776,
^NSEI,2023-05-03,180,18089.849609375,17604.496822550464,17629.879084319342,17635.329037330866,
^NSEI,2023-05-04,180,18255.80078125,17604.513519261956,17613.40274852367,17644.406616132746,
^NSEI,2023-05-05,180,18069.0,17604.46708448168,17566.408567831346,17647.588767008638,
^NSEI,2023-05-08,180,18264.400390625,17604.417525475717,17559.124828254884,17646.945658397148,
^NSEI,2023-05-09,180,18265.94921875,17604.37894855086,17545.135603678325,17643.81364332027,
^NSEI,2023-05-10,180,18315.099609375,17604.36411136437,17539.197676360356,17653.847382765278,
^NSEI,2023-05-11,180,18297.0,17604.36464421047,17505.518073200965,17664.758204797607,
^NSEI,2023-05-12,180,18314.80078125,17604.36025158272,17532.642315633577,17666.190340385336,
^NSEI,2023-05-15,180,18398.849609375,17604.355581410946,17524.476360237328,17667.379842412953,
^NSEI,2023-05-16,180,18286.5,17604.35226302586,17487.401276768695,17662.498410448185,
^NSEI,2023-05-17,180,18181.75,17604.35119634378,17491.480452257223,17674.350871944862,
^NSEI,2023-05-18,180,18129.94921875,17604.35116897045,17490.105649178848,17683.504269490862,
^NSEI,2023-05-19,180,18203.400390625,17604.350748468016,17497.817504405335,17686.72338583987,
^NSEI,2023-05-22,180,18314.400390625,17604.350314343843,17478.58717197118,17686.165615384656,
^NSEI,2023-05-23,180,18348.0,17604.350035076368,17520.709124610898,17683.060824949418,
^NSEI,2023-05-24,180,18285.400390625,17604.349957740153,17527.82799690435,17693.175062759197,
^NSEI,2023-05-25,180,18321.150390625,17604.349949113595,17506.058413212922,17704.094137954056,
^NSEI,2023-05-26,180,18499.349609375,17604.34990867973,17525.197478623213,17705.582612891903,
^NSEI,2023-05-29,180,18598.650390625,17604.349868937676,17538.376146134568,17706.781048442328,
