Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast
2023-11-17,333.21197509765625,331.6235645614956,201.0727129529181,331.92806612382526
2023-11-20,338.1150817871094,331.6193810047077,200.38601798814184,331.8777423795242
2023-11-21,335.14141845703125,331.4087309929769,199.63413481999547,331.68270879956447
2023-11-22,339.62677001953125,331.5332921069671,199.57887971270603,331.93722991527625
2023-11-23,,331.49911689908697,198.45459706837192,331.8798750467906
2023-11-24,336.3845520019531,331.5376186123378,197.80099561556528,331.9891948308662
2023-11-27,332.8738708496094,331.5358260184427,196.97127822329017,331.9643745803147
2023-11-28,337.1404113769531,331.5412345054791,195.7386326735447,332.08310229602307
2023-11-29,330.3874816894531,331.53581139286973,195.0423398507708,332.281595729249
2023-11-30,325.36505126953125,331.5361731805376,194.32714954618007,332.3267417569337
2023-12-01,323.0477600097656,331.5345936074825,194.35570623075373,332.44606800038537
2023-12-04,318.27392578125,331.5348427748158,193.36225006809903,332.45288588824644
2023-12-05,316.5533447265625,331.534785368518,192.88543371059973,332.5786981669836
2023-12-06,315.71795654296875,331.535043633068,192.27645665405169,332.79405180955183
2023-12-07,324.8080749511719,331.53505445739654,191.3055846837713,332.84512045796794
2023-12-08,330.9344787597656,331.5351044775025,190.90831040344648,332.97200697938564
2023-12-11,323.5052185058594,331.5350822659499,190.52480392031683,332.9827123197851
2023-12-12,332.3964538574219,331.53507709755013,190.9124342863644,333.11231794266735
2023-12-13,332.9136047363281,331.53506553952553,190.29958462904523,333.32980880567777
2023-12-14,331.3522033691406,331.535065289598,190.21859865629503,333.3827780420672
2023-12-15,333.0926513671875,331.5350644770463,190.01405700878823,333.510851923784
2023-12-18,342.7397155761719,331.53506601828576,189.449447337038,333.5225254275474
2023-12-19,348.4483947753906,331.5350664833155,189.45348018656333,333.6527720004946
2023-12-20,347.3742980957031,331.5350669126789,189.45969571160308,333.87076576433327
2023-12-21,352.1580810546875,331.53506684976173,190.2191377311668,333.9240788122029
2023-12-22,351.4618835449219,331.5350668119088,189.9543140552385,334.05241467285043
2023-12-26,352.8939819335937,331.5350667247247,190.1922769513528,334.06427148198026
2023-12-27,355.8775939941406,331.53506670286697,190.2730187069224,334.19465526503376
2023-12-28,356.3649597167969,331.5350666926463,189.95624304158457,334.4127462983462
2023-12-29,352.0287475585937,331.5350667007553,190.1677618101372,334.4661313784657
