Date,Actual,ARIMA_Forecast,Prophet_Forecast
2023-08-25,177.0782470703125,174.9752492686489,170.12883329011186
2023-08-28,178.6446990966797,175.12930535467606,170.32829401801595
2023-08-29,182.5409698486328,175.2631058665835,170.279131775427
2023-08-30,186.0406951904297,175.3209279056785,170.23649750306768
2023-08-31,186.25880432128903,175.17681207166066,170.01184771680047
2023-09-01,187.835189819336,175.18445368456318,169.98559254625417
2023-09-04,,175.19389880714502,169.8177110237173
2023-09-05,188.0731201171875,175.19972650156248,169.60456458576658
2023-09-06,181.3413543701172,175.19943632013909,169.71606500274584
2023-09-07,176.03724670410156,175.19502178632564,169.58174159863822
2023-09-08,176.6519012451172,175.19546638513907,169.45735529391382
2023-09-11,177.82180786132812,175.19592703708142,169.15492575114737
2023-09-12,174.78805541992188,175.19612163045247,169.05537970084748
2023-09-13,172.71597290039062,175.1960432354651,168.8191677342297
2023-09-14,174.2328643798828,175.19591004609015,168.54308023163776
2023-09-15,173.50909423828125,175.19593326842133,168.59741832310394
2023-09-18,176.4437255859375,175.1959529493545,168.412064413793
2023-09-19,177.53431701660156,175.1959581295676,168.24309948010446
2023-09-20,173.98500061035156,175.1959534379754,167.9028331060999
2023-09-21,172.43836975097656,175.19594955433197,167.77245405733962
2023-09-22,173.29098510742188,175.19595067201828,167.5126484399808
2023-09-25,174.56991577148438,175.1959514361706,167.2204159267159
2023-09-26,170.4852752685547,175.1959515274145,167.2662398187093
2023-09-27,168.9683837890625,175.19595131085543,167.0801554147196
2023-09-28,169.2261505126953,175.1959512045296,166.91836390066516
2023-09-29,169.74168395996094,175.195951254796,166.59325780667766
2023-10-02,172.25990295410156,175.19595128213498,166.48606597393527
2023-10-03,170.9214630126953,175.1959512814117,166.25746528774965
2023-10-04,172.17068481445312,175.1959512725793,166.0043899233739
2023-10-05,173.4099884033203,175.19595126999593,166.0971941856677
2023-10-06,175.96783447265625,175.19595127212807,165.96571376159758
2023-10-09,177.45498657226562,175.19595127302892,165.86587296968818
2023-10-10,176.86012268066406,175.19595127285237,165.60970443344067
2023-10-11,178.2580108642578,175.19595127252063,165.5779894955547
2023-10-12,179.1602325439453,175.19595127247345,165.43086698373884
2023-10-13,177.316162109375,175.19595127255928,165.26464139431235
2023-10-16,177.1873016357422,175.19595127258617,165.44894684628582
2023-10-17,175.63075256347656,175.19595127257463,165.41281183606654
2023-10-18,174.3319854736328,175.195951272563,165.41127251727377
2023-10-19,173.9552764892578,175.19595127256295,165.25540099389605
2023-10-20,171.39736938476562,175.19595127256625,165.3249569199876
2023-10-23,171.516357421875,175.19595127256693,165.27900990507976
2023-10-24,171.95257568359375,175.19595127256636,165.21276359181917
2023-10-25,169.6326446533203,175.195951272566,165.49473747349734
2023-10-26,165.458740234375,175.19595127256605,165.55285111708818
2023-10-27,166.77735900878906,175.19595127256616,165.64105808068956
2023-10-30,168.82957458496094,175.19595127256616,165.56939551817936
2023-10-31,169.3054962158203,175.19595127256613,165.7166572223922
2023-11-01,172.47804260253906,175.19595127256613,165.74103703296578
2023-11-02,176.04714965820312,175.19595127256613,165.73697288798135
2023-11-03,175.13502502441406,175.19595127256613,166.07234700303326
2023-11-06,177.69293212890625,175.19595127256613,166.174586280733
2023-11-07,180.26071166992188,175.19595127256613,166.29730971635132
2023-11-08,181.3215484619141,175.19595127256613,166.25038832578824
2023-11-09,180.8456420898437,175.19595127256613,166.4126249530583
2023-11-10,185.0448760986328,175.19595127256613,166.44240057591622
2023-11-13,183.45654296875,175.19595127256613,166.43451717958993
2023-11-14,186.0773162841797,175.19595127256613,166.7573925805861
2023-11-15,186.6431579589844,175.19595127256613,166.83915131538677
2023-11-16,188.3308563232422,175.19595127256613,166.93425848786492
2023-11-17,188.3109893798828,175.19595127256613,166.85356234526802
2023-11-20,190.05816650390625,175.19595127256613,166.97695329507832
2023-11-21,189.2540740966797,175.19595127256613,166.96398644029847
2023-11-22,189.9192047119141,175.19595127256613,166.91069825507486
2023-11-23,,175.19595127256613,167.1867734136973
2023-11-24,188.58892822265625,175.19595127256613,167.22160658164844
2023-11-27,188.4102478027344,175.19595127256613,167.2709068004424
2023-11-28,189.01580810546875,175.19595127256613,167.14671099791232
2023-11-29,187.9933013916016,175.19595127256613,167.23001510056795
2023-11-30,188.569091796875,175.19595127256613,167.18137057066193
2023-12-01,189.84971618652344,175.19595127256613,167.09767769413574
2023-12-04,188.0528717041016,175.19595127256613,167.3493322752397
2023-12-05,192.01385498046875,175.19595127256613,167.36627110841232
2023-12-06,190.921875,175.19595127256613,167.40456432312774
2023-12-07,192.8576812744141,175.19595127256613,167.27642148478756
2023-12-08,194.2872314453125,175.19595127256613,167.36282015559811
2023-12-11,191.7755889892578,175.19595127256613,167.32410483332677
2023-12-12,193.2944793701172,175.19595127256613,167.2567875529383
2023-12-13,196.5208435058593,175.19595127256613,167.53070662895107
2023-12-14,196.66978454589844,175.19595127256613,167.57508859794393
2023-12-15,196.1336975097656,175.19595127256613,167.64516102011032
2023-12-18,194.4659118652344,175.19595127256613,167.5521824716727
2023-12-19,195.50827026367188,175.19595127256613,167.67609778116832
2023-12-20,193.41360473632807,175.19595127256613,167.67616569465113
2023-12-21,193.2646942138672,175.19595127256613,167.64778946039624
2023-12-22,192.1925506591797,175.19595127256613,167.95970597734768
2023-12-26,191.6465606689453,175.19595127256613,168.0400777176746
2023-12-27,191.74581909179688,175.19595127256613,168.1431342421685
2023-12-28,192.1726989746093,175.19595127256613,168.07922883345898
2023-12-29,191.1303253173828,175.19595127256613,168.2275175501157
