Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast,Ensemble_Forecast
2023-04-21,280.7707824707031,281.32163693442897,250.1312768118164,281.4448670634385,,270.9659269365613
2023-04-24,276.8504333496094,281.42724839975835,249.64110742757669,281.43960018258053,,270.83598533663854
2023-04-25,270.61138916015625,281.44207982869165,249.30668594745012,281.51615890880447,,270.75497489498207
2023-04-26,290.2130432128906,281.42307929733727,249.2357503448004,281.4955381351037,,270.71812259241375
2023-04-27,299.5078125,281.3788520708731,248.696274508797,281.48286558757246,,270.51933072241417
2023-04-28,301.8954467773437,281.3888247762401,248.4836490744881,281.7010945931044,,270.52452281461086
2023-05-01,300.2251281738281,281.3917478076741,248.10157959220183,281.62685638524994,,270.37339459504193
2023-05-02,300.0777587890625,281.39206754981143,247.6141191424714,281.7319715218137,,270.2460527380322
2023-05-03,299.0853576660156,281.3911561548596,247.0458678121996,281.72902741982904,,270.0553504622961
2023-05-04,300.0777587890625,281.39037921710104,246.65040178465847,281.7867404257306,,269.9425071424967
2023-05-05,305.2262268066406,281.39070294576464,246.5365017392232,282.01988120176594,,269.9823619622512
2023-05-08,303.2611389160156,281.3907691982972,245.97294211313795,281.9601070949255,,269.77460613545355
2023-05-09,301.6399230957031,281.39076617461865,245.75564169625696,282.08057198152244,,269.742326617466
2023-05-10,306.85723876953125,281.39073661038054,245.3885373839698,282.0915273596377,,269.62360045132937
2023-05-11,304.6956481933594,281.39072526221764,244.9355991025988,282.1632202591176,,269.4965148746447
2023-05-12,303.5755615234375,281.390734303953,244.42101904429228,282.4080755055997,,269.40660961794833
2023-05-15,304.0570068359375,281.3907355029143,244.09763847487787,282.359073039105,,269.28248233896574
2023-05-16,306.2972106933594,281.3907350492118,244.0731820936076,282.48947322515784,,269.3177967893257
2023-05-17,309.1921691894531,281.3907342590793,243.61506154166815,282.5095451446887,,269.1717803151454
2023-05-18,313.6429443359375,281.39073416542965,243.51754833302456,282.58963474109424,,269.1659724131828
2023-05-19,313.4657287597656,281.39073439496525,243.28267759724972,282.8421731633323,,269.17186171851574
2023-05-22,316.26226806640625,281.3907344079374,242.9722999856902,282.8002244467073,,269.05441961344496
2023-05-23,310.4328918457031,281.39073438728155,242.60831400531552,282.937101210848,,268.9787165344817
2023-05-24,309.0444641113281,281.39073436906057,242.44114098521015,282.96311870155665,,268.9316646852758
2023-05-25,320.9296875,281.3907343709187,242.57601143976876,283.0486671070048,,269.0051376392308
2023-05-26,327.79296875,281.3907343762821,242.277823088292,283.30621629129223,,268.99159125195547
2023-05-29,,281.3907343760938,242.3383693830681,283.26886759451247,,268.99932378455816
2023-05-30,326.138671875,281.3907343753975,242.25729847003083,283.4099673211938,,269.01933338887403
2023-05-31,323.3619079589844,281.39073437503805,242.09421846559152,283.43986160009,,268.97493814690654
2023-06-01,327.4876708984375,281.3907343751696,241.868979886013,283.5289690127185,,268.9295610913004
2023-06-02,330.2645263671875,281.39073437528407,241.8301960868849,283.7897854461616,,269.00357196944356
2023-06-05,330.7962341308594,281.3907343752659,242.0815692486667,283.7554361700063,,269.0759132646463
2023-06-06,328.5708923339844,281.3907343752461,241.88678109438732,283.899289444029,,269.0589349712208
2023-06-07,318.4285583496094,281.3907343752405,242.03674630333867,283.93171155156097,,269.11973074338005
2023-06-08,320.27978515625,281.3907343752453,242.03058786751055,284.0231395774961,,269.148153940084
2023-06-09,321.7864074707031,281.39073437524746,241.92774982747144,284.2860863945366,,269.2015235324185
2023-06-12,326.76885986328125,281.3907343752467,241.74827802045797,284.2536928664083,,269.13090175403767
2023-06-13,329.1715087890625,281.3907343752462,241.7413297440561,284.3993415684313,,269.1771352292445
2023-06-14,332.1748046875,281.3907343752461,242.0114801653566,284.43341192596057,,269.2785421555211
2023-06-15,342.77008056640625,281.39073437524627,241.8235851956672,284.5263530886341,,269.2468908865158
2023-06-16,337.08837890625,281.3907343752463,241.9699995535368,284.79068900488363,,269.3838076445556
2023-06-19,,281.3907343752463,241.95151022537684,284.75957070626555,,269.3672717689629
2023-06-20,332.8739624023437,281.3907343752463,241.82940189935,284.9063901024286,,269.37550879234163
2023-06-21,328.45269775390625,281.3907343752463,241.6256862887052,284.9415351878858,,269.3193186172791
2023-06-22,334.5085144042969,281.3907343752463,241.59155763964145,285.03546297898754,,269.3392516646251
2023-06-23,329.8902587890625,281.3907343752463,241.83364371460632,285.3007046460134,,269.5083609119553
2023-06-26,323.5686340332031,281.3907343752463,241.61881346055867,285.2704178503659,,269.42665522872363
2023-06-27,329.4472351074219,281.3907343752463,241.7413415613059,285.4180005880663,,269.51669217487284
2023-06-28,330.7076721191406,281.3907343752463,241.70379150549724,285.4538464410774,,269.51612410727364
2023-06-29,329.9198913574219,281.3907343752463,241.56903507486456,285.5484175551748,,269.5027290017619
2023-06-30,335.3258361816406,281.3907343752463,241.36044136803085,285.8142498095851,,269.52180851762074
2023-07-03,332.8148498535156,281.3907343752463,241.33029869159432,285.78450518864764,,269.50184608516275
2023-07-04,,281.3907343752463,241.58603945580336,285.9325856569532,,269.6364531626677
2023-07-05,332.9724426269531,281.3907343752463,241.3950299180222,285.9688884397153,,269.58488424432795
2023-07-06,336.044677734375,281.3907343752463,241.5517253779592,286.06387902730944,,269.668779593505
2023-07-07,332.056640625,281.3907343752463,241.55855262252527,286.3300963693926,,269.7597944557214
2023-07-10,326.7492370605469,281.3907343752463,241.47793744982908,286.3007052690397,,269.72312569803836
2023-07-11,327.3793640136719,281.3907343752463,241.33251007504668,286.44911027851475,,269.7241182429359
