Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast,Ensemble_Forecast
2023-04-21,327.9800109863281,325.3957564806902,203.0850697924634,326.6082454091911,,285.02969056078155
2023-04-24,329.0199890136719,325.534444312001,202.28483060348893,327.1823689283586,,285.00054794794954
2023-04-25,322.54998779296875,325.4221574346456,199.87031960379443,326.3502445910106,,283.8809072098168
2023-04-26,321.1499938964844,325.99585301090684,197.2897758528877,326.27344043266595,,283.18635643215345
2023-04-27,325.8500061035156,325.8568653417948,194.88299482471024,326.2169993234084,,282.31895316330446
2023-04-28,329.92999267578125,325.87093507806713,192.374520400734,327.0265429581535,,281.7573328123182
2023-05-01,324.1199951171875,325.871093950532,190.3359998892161,327.8145195769196,,281.34053780555587
2023-05-02,317.54998779296875,325.87983406786464,186.7145490025373,327.5697113214568,,280.05469813061956
2023-05-03,319.29998779296875,325.84892090506975,186.24513550007347,327.2279415851985,,279.7739993301139
2023-05-04,320.7799987792969,325.8577451240112,184.3022143972742,326.8149400731449,,278.99163319814346
2023-05-05,322.760009765625,325.8562067561932,182.32391644061576,327.18887630126943,,278.4563331660261
2023-05-08,331.2099914550781,325.8558928216416,180.63759818121548,327.9736565407207,,278.15571584785926
2023-05-09,332.1400146484375,325.85530928394206,178.9533145540736,328.1345353445346,,277.64771972751674
2023-05-10,335.4200134277344,325.85697103644543,177.82649811141806,328.1743190718448,,277.28592940656944
2023-05-11,344.760009765625,325.8564111836875,175.18668419493133,327.70604224892406,,276.2497125425143
2023-05-12,339.8900146484375,325.8565325877093,175.7502822576123,327.68560673618737,,276.4308071938363
2023-05-15,335.8900146484375,325.8565606654537,174.87261710094637,328.17087673465124,,276.3000181670171
2023-05-16,333.75,325.85659638803804,173.97253218200115,328.4353680885126,,276.08816555285057
2023-05-17,339.9599914550781,325.8565070487817,173.35835360504672,328.8468046431445,,276.020555098991
2023-05-18,371.2900085449219,325.85654222426746,172.72176605619777,328.6115009281744,,275.7299364028799
2023-05-19,365.3599853515625,325.8565336804997,172.60087548950156,328.4493217423767,,275.63557697079267
2023-05-22,363.010009765625,325.85653182632177,170.90928904935103,328.590863418922,,275.11889476486493
2023-05-23,355.989990234375,325.856529761862,172.34920439615607,328.68328303414086,,275.6296723973863
2023-05-24,364.8500061035156,325.8565345724736,172.26372510998152,329.263958094703,,275.79473925905273
2023-05-25,359.0,325.8565323909113,172.06168835936867,329.3397840296894,,275.7526682599898
2023-05-26,378.8800048828125,325.85653296064874,172.04379874775506,329.2950460939246,,275.73179260077615
2023-05-29,,325.85653306622834,171.89661626722298,329.2494466156477,,275.66753198303303
2023-05-30,392.9800109863281,325.85653318065124,172.15567128512657,329.0659920513018,,275.69273217235985
2023-05-31,395.2300109863281,325.85653292104524,170.73453664584338,329.5772567964769,,275.3894421211218
2023-06-01,403.1300048828125,325.85653305454906,172.33785012949593,329.84980453444496,,276.01472923949666
2023-06-02,400.4700012207031,325.8565330176337,172.3135064524035,330.0444701064804,,276.07150319217254
2023-06-05,403.5400085449219,325.8565330122637,172.07730886407666,330.02697439764887,,275.98693875799637
2023-06-06,399.2900085449219,325.8565330061209,171.93887936589834,329.64431649992554,,275.8132429573149
2023-06-07,399.7699890136719,325.85653302016203,171.59538169518584,329.95264692782433,,275.80152054772407
2023-06-08,409.3699951171875,325.8565330120934,171.59433714497848,330.23174963030147,,275.8942065957911
2023-06-09,420.0199890136719,325.85653301444535,169.86237118467338,330.6222076158754,,275.44703727166467
2023-06-12,423.9700012207031,325.8565330146864,171.1178925337282,330.7721755724973,,275.9155337069706
2023-06-13,435.7300109863281,325.8565330150081,170.72293259048593,330.3547056758394,,275.6447237604445
2023-06-14,440.8599853515625,325.8565330142473,170.10744406793935,330.4753959318158,,275.4797910046675
2023-06-15,445.2699890136719,325.8565330147296,169.59486651273326,330.62071649202835,,275.3573720064971
2023-06-16,431.9599914550781,325.8565330145814,168.89552113700807,331.0682184878362,,275.2734242131419
2023-06-19,,325.85653301457256,168.56912274773603,331.39400719606664,,275.27322098612507
2023-06-20,434.7000122070313,325.856533014556,166.55325369223425,331.07902682540833,,274.49627117739954
2023-06-21,424.4500122070313,325.8565330145973,167.57580749918515,331.12599228561606,,274.8527775997995
2023-06-22,422.4800109863281,325.85653301456875,167.0066350784931,331.10999711698366,,274.6577217366818
2023-06-23,424.0199890136719,325.856533014578,166.2816961183866,331.4834865304165,,274.5405718877937
2023-06-26,415.9400024414063,325.8565330145782,165.7285258918563,331.89467011858244,,274.493243008339
2023-06-27,417.0799865722656,325.85653301457904,165.05958114548673,331.7246936333499,,274.2136025978052
2023-06-28,429.8399963378906,325.8565330145768,164.83475279952722,331.82028356012205,,274.17052312474203
2023-06-29,428.239990234375,325.8565330145785,162.98988905124014,331.71165363612266,,273.51935856731376
2023-06-30,440.489990234375,325.8565330145779,164.2493340246846,331.95748741299354,,274.02111815075205
2023-07-03,441.4400024414063,325.8565330145779,163.97771117746106,332.3422061686298,,274.05881678688957
2023-07-04,,325.85653301457785,163.60424945454488,332.26827151797806,,273.90968466236694
2023-07-05,445.8999938964844,325.856533014578,163.44845690283626,332.4737928648672,,273.92626092742717
2023-07-06,438.8399963378906,325.85653301457785,163.21369923686734,332.3727229234111,,273.81431839161877
2023-07-07,438.1000061035156,325.8565330145779,163.4499643981946,332.5223456235925,,273.94294767878836
2023-07-10,441.7099914550781,325.8565330145779,162.08264970165052,332.81468099669047,,273.5846212376396
2023-07-11,440.2099914550781,325.8565330145779,163.82536959533468,332.7489038474377,,274.1436021524501
