Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast
2023-11-17,147.57994079589844,146.3577073682497,133.75997894873674,146.4901815876825
2023-11-20,148.03384399414062,146.30471616075658,133.9762414526606,146.55884721091488
2023-11-21,147.7248077392578,146.3465203560478,134.06803344523948,146.66254457072688
2023-11-22,148.07247924804688,146.30752734119147,134.12520692877905,146.70253233192062
2023-11-23,,146.38384599852378,134.16463474904663,146.81735122249742
2023-11-24,148.27525329589844,146.3830721312208,134.14669725854472,146.93666776392152
2023-11-27,147.93727111816406,146.38511832513353,134.2353494850205,146.9428027364605
2023-11-28,148.27525329589844,146.3880191290532,134.25653860846052,146.9779242365611
2023-11-29,149.02853393554688,146.382161132929,134.3952295339111,146.98876224156734
2023-11-30,150.72816467285156,146.38624543897814,134.40034215178582,147.03509879128623
2023-12-01,151.4621124267578,146.38534774798052,134.362413807878,147.14734096735015
2023-12-04,152.57269287109375,146.3857404252814,134.29934419450828,147.15387373013778
2023-12-05,152.55337524414062,146.38604127730605,134.17287111793613,147.18654492360596
2023-12-06,150.9502716064453,146.38558014283518,134.14861583778142,147.19554077179484
2023-12-07,151.41383361816406,146.38586174599985,134.0544681130059,147.23932593663648
2023-12-08,153.0845184326172,146.38574202467953,134.07756940129732,147.3514610599575
2023-12-11,153.64462280273438,146.3857793143383,133.96919877791277,147.35796123788663
2023-12-12,155.0159454345703,146.3858024214371,133.82237636251523,147.39050591754423
2023-12-13,155.53741455078125,146.38576939028505,133.65754299175998,147.3994483968581
2023-12-14,158.36695861816406,146.38579204223697,133.43896633900226,147.44314056179647
2023-12-15,159.56443786621094,146.38578028118118,133.33471409590013,147.55526642103302
2023-12-18,160.5301513671875,146.38578367811024,133.17496638924894,147.56176500054752
2023-12-19,162.6739959716797,146.3857850732301,133.14892798117626,147.59430615183956
2023-12-20,160.8391571044922,146.3857826867971,133.00964692247513,147.60324643761652
2023-12-21,161.756591796875,146.38578456439015,132.85155649278315,147.64693472662643
2023-12-22,161.6600341796875,146.38578352400123,132.69610109167294,147.759060317762
2023-12-26,162.61605834960938,146.38578384707606,132.50809803175633,147.76555889572967
2023-12-27,163.5914306640625,146.38578391239363,132.45567736814428,147.79809987953922
2023-12-28,164.4605712890625,146.3857837377694,132.36857317929912,147.80704007179443
2023-12-29,164.26744079589844,146.38578389094835,132.43502777075162,147.850728221409
