Ticker,Date,Horizon,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast
TSLA,2023-04-21,180,165.0800018310547,163.8806630212112,208.8239567009244,163.87497131846777,
TSLA,2023-04-24,180,162.5500030517578,163.437261390704,208.6794322766145,162.50870135805832,
TSLA,2023-04-25,180,160.6699981689453,163.30816655167044,208.4280998474541,161.73534690103935,
TSLA,2023-04-26,180,153.75,161.9526092368121,209.33991390279343,162.3195674771569,
TSLA,2023-04-27,180,160.19000244140625,162.44412564982096,208.25142520284496,162.72757639026878,
TSLA,2023-04-28,180,164.30999755859375,162.3576832926516,207.9795548549414,162.92604093032122,
TSLA,2023-05-01,180,161.8300018310547,162.37137142740832,207.20286861190849,162.34445626071232,
TSLA,2023-05-02,180,160.30999755859375,162.26010157430107,206.3786919403347,161.39480382204252,
TSLA,2023-05-03,180,160.61000061035156,162.33306034433818,205.88143364653857,162.0969380900153,
TSLA,2023-05-04,180,161.1999969482422,162.31182130853915,205.24735896695236,161.83083963042503,
TSLA,2023-05-05,180,170.05999755859375,162.31683054766654,205.75402449976477,162.2131198329455,
TSLA,2023-05-08,180,171.7899932861328,162.30673947044923,204.2466113705687,161.6710727885837,
TSLA,2023-05-09,180,169.14999389648438,162.31552361572815,203.55145255199756,160.8281144942563,
TSLA,2023-05-10,180,168.5399932861328,162.31181680339154,202.35703563936343,161.59206174175978,
TSLA,2023-05-11,180,172.0800018310547,162.31294618367667,201.1308298400369,161.42308007878145,
TSLA,2023-05-12,180,167.97999572753906,162.3118981054385,200.2573136394598,161.8531280122457,
TSLA,2023-05-15,180,166.35000610351562,162.31289153405407,199.28245292939343,161.36164501472032,
TSLA,2023-05-16,180,166.52000427246094,162.31235339733482,199.49285079194792,160.55814540563986,
TSLA,2023-05-17,180,173.86000061035156,162.31255809925287,197.74181382322823,161.3592130999208,
TSLA,2023-05-18,180,176.88999938964844,162.3124312750598,196.8626388303644,161.22047692531928,
TSLA,2023-05-19,180,180.13999938964844,162.3125433693642,195.54940830689725,161.67896700965397,
TSLA,2023-05-22,180,188.8699951171875,162.31247239518973,194.27364952796785,161.21192125402462,
TSLA,2023-05-23,180,185.7700042724609,162.31250469948202,193.42223861603796,160.43020764462767,
TSLA,2023-05-24,180,182.8999938964844,162.31248762945893,192.54180291453244,161.25025255564847,
TSLA,2023-05-25,180,184.47000122070312,162.31250070522222,192.9178449789672,161.12832117730375,
TSLA,2023-05-26,180,193.1699981689453,162.31249177417888,191.40083369321303,161.60148054760694,
TSLA,2023-05-29,180,,162.31249643381668,190.81956546518387,161.14735687561674,
TSLA,2023-05-30,180,201.1600036621093,162.31249404164467,189.86208155716068,160.37697737153584,
TSLA,2023-05-31,180,203.92999267578125,162.31249564186948,188.9924926496186,161.2069906033203,
TSLA,2023-06-01,180,207.5200042724609,162.3124945357858,188.58908697243027,161.0938100166139,
TSLA,2023-06-02,180,213.97000122070312,162.3124951705063,188.1889692053588,161.57466275422735,
TSLA,2023-06-05,180,217.6100006103516,162.3124948358276,189.067446392124,161.12729643261068,
TSLA,2023-06-06,180,221.3099975585937,162.31249504029407,188.06439859603503,160.36285503452115,
TSLA,2023-06-07,180,224.57000732421875,162.3124949027946,187.9979289930513,161.19808483937894,
TSLA,2023-06-08,180,234.8600006103516,162.31249498635802,187.54557096925063,161.08948791483127,
TSLA,2023-06-09,180,244.3999938964844,162.31249494036288,187.16139485808333,161.5743675703756,
TSLA,2023-06-12,180,249.8300018310547,162.312494967222,187.21438246462665,161.13053939429895,
TSLA,2023-06-13,180,258.7099914550781,162.31249494989137,187.2333089122636,160.36920652637914,
TSLA,2023-06-14,180,256.7900085449219,162.3124949607032,188.48634113515237,161.20716750566552,
TSLA,2023-06-15,180,255.8999938964844,162.31249495450604,187.80758477204964,161.10097015378156,
TSLA,2023-06-16,180,260.5400085449219,162.31249495807722,188.010869305968,161.58795807542114,
TSLA,2023-06-19,180,,162.31249495585766,187.7710454248977,161.14598220412992,
TSLA,2023-06-20,180,274.45001220703125,162.3124949572483,187.54113500634725,160.38627676523652,
TSLA,2023-06-21,180,259.4599914550781,162.31249495642658,187.69070105810204,161.22566759300938,
TSLA,2023-06-22,180,264.6099853515625,162.31249495690213,187.75067776876344,161.12072649975923,
TSLA,2023-06-23,180,256.6000061035156,162.31249495661413,188.99287201483412,161.6088181628543,
TSLA,2023-06-26,180,241.0500030517578,162.3124949567932,188.2563714385694,161.1678120333825,
TSLA,2023-06-27,180,250.2100067138672,162.31249495668538,188.3611535250746,160.40895860433378,
TSLA,2023-06-28,180,256.239990234375,162.31249495674848,187.98917531700528,161.24909800359382,
TSLA,2023-06-29,180,257.5,162.3124949567108,187.60129073376683,161.14481460124264,
TSLA,2023-06-30,180,261.7699890136719,162.31249495673396,187.57537008858773,161.6334841081437,
TSLA,2023-07-03,180,279.82000732421875,162.3124949567199,187.4508696901728,161.19298566917803,
TSLA,2023-07-04,180,,162.31249495672822,188.5080708441932,160.4345782943493,
TSLA,2023-07-05,180,282.4800109863281,162.31249495672327,187.5942313287875,161.2751095944935,
TSLA,2023-07-06,180,276.5400085449219,162.31249495672628,187.5369514828241,161.17117051420132,
TSLA,2023-07-07,180,274.42999267578125,162.31249495672446,187.02504177259596,161.66014254064962,
TSLA,2023-07-10,180,269.6099853515625,162.31249495672554,186.52524533166803,161.2199098937678,
TSLA,2023-07-11,180,269.7900085449219,162.3124949567249,186.42019570081865,160.461736042465,
TSLA,2023-07-12,180,271.989990234375,162.3124949567253,186.25286222813008,161.30247251515078,
TSLA,2023-07-13,180,277.8999938964844,162.31249495672506,187.3057058242757,161.1987136983741,
TSLA,2023-07-14,180,281.3800048828125,162.3124949567252,186.42679023795827,161.68784410339882,
TSLA,2023-07-17,180,290.3800048828125,162.31249495672512,186.4431517355375,161.247750607101,
TSLA,2023-07-18,180,293.3399963378906,162.31249495672515,186.04171343624049,160.48969901276917,
TSLA,2023-07-19,180,291.260009765625,162.31249495672515,185.6860958507593,161.3305428997865,
TSLA,2023-07-20,180,262.8999938964844,162.31249495672515,185.75470063875727,161.22687845667642,
TSLA,2023-07-21,180,260.0199890136719,162.31249495672515,185.7853156760122,161.7160917779081,
TSLA,2023-07-24,180,269.0599975585937,162.31249495672515,187.0544587406242,161.27607113135346,
TSLA,2023-07-25,180,265.2799987792969,162.31249495672515,186.40369875393725,160.51808354242272,
TSLA,2023-07-26,180,264.3500061035156,162.31249495672515,186.6532505848104,161.35898366424874,
TSLA,2023-07-27,180,255.7100067138672,162.31249495672515,186.4831223643298,161.25536862874569,
TSLA,2023-07-28,180,266.44000244140625,162.31249495672515,186.35015935474237,161.744625359241,
TSLA,2023-07-31,180,267.42999267578125,162.31249495672515,186.6263539194914,161.30464285183703,
TSLA,2023-08-01,180,261.07000732421875,162.31249495672515,186.8436624845393,160.54668877176343,
TSLA,2023-08-02,180,254.1100006103516,162.31249495672515,188.27354009226943,161.387618334295,
TSLA,2023-08-03,180,259.32000732421875,162.31249495672515,187.7534254755897,161.284029165241,
TSLA,2023-08-04,180,253.8600006103516,162.31249495672515,188.10046753908455,161.77330862186236,
TSLA,2023-08-07,180,251.4499969482422,162.31249495672515,187.99276811649804,161.33334608151313,
TSLA,2023-08-08,180,249.6999969482422,162.31249495672515,187.886482139517,160.57540954438883,
TSLA,2023-08-09,180,242.19000244140625,162.31249495672515,188.15414311345472,161.41635452006338,
TSLA,2023-08-10,180,245.33999633789065,162.31249495672515,188.3294544454025,161.31277889291565,
TSLA,2023-08-11,180,242.6499938964844,162.31249495672515,189.68675819652907,161.80207024738462,
TSLA,2023-08-14,180,239.759994506836,162.31249495672515,189.0674164390248,161.36211816042174,
TSLA,2023-08-15,180,232.9600067138672,162.31249495672515,189.2933995671579,160.60419080758766,
TSLA,2023-08-16,180,225.6000061035156,162.31249495672515,189.0483609938549,161.4451438525313,
TSLA,2023-08-17,180,219.22000122070312,162.31249495672515,188.79454488480872,161.3415753150009,
TSLA,2023-08-18,180,215.4900054931641,162.31249495672515,188.91090112311903,161.8308728983704,
TSLA,2023-08-21,180,231.27999877929688,162.31249495672515,188.9376549290052,161.39092628408676,
TSLA,2023-08-22,180,233.19000244140625,162.31249495672515,190.15554994960357,160.63300373951984,
TSLA,2023-08-23,180,236.8600006103516,162.31249495672515,189.41200737832887,161.47396100898172,
TSLA,2023-08-24,180,230.0399932861328,162.31249495672515,189.5345027345795,161.3703961830908,
TSLA,2023-08-25,180,238.58999633789065,162.31249495672515,189.2114466883951,161.85969702748727,
TSLA,2023-08-28,180,238.82000732421875,162.31249495672515,188.9089229865275,161.41975327832472,
TSLA,2023-08-29,180,257.17999267578125,162.31249495672515,189.00866332455425,160.66183325103813,
TSLA,2023-08-30,180,256.8999938964844,162.31249495672515,189.0525113077142,161.50279273216924,
TSLA,2023-08-31,180,258.0799865722656,162.31249495672515,190.3215979479193,161.3992298494394,
TSLA,2023-09-01,180,245.009994506836,162.31249495672515,189.66247368435464,161.88853240108682,
TSLA,2023-09-04,180,,162.31249495672515,189.90049970105844,161.44859015190602,
TSLA,2023-09-05,180,256.489990234375,162.31249495672515,189.72078474112757,160.6906714424955,
TSLA,2023-09-06,180,251.9199981689453,162.31249495672515,189.58501896203487,161.53163208150562,
TSLA,2023-09-07,180,251.4900054931641,162.31249495672515,189.86958187848117,161.42807021608212,
TSLA,2023-09-08,180,248.5,162.31249495672515,190.11017253291683,161.9173736615296,
TSLA,2023-09-11,180,273.5799865722656,162.31249495672515,191.5811792534219,161.47743219763683,
TSLA,2023-09-12,180,267.4800109863281,162.31249495672515,191.12202796769935,160.71951417817624,
TSLA,2023-09-13,180,271.29998779296875,162.31249495672515,191.55080508018415,161.56047542337274,
TSLA,2023-09-14,180,276.0400085449219,162.31249495672515,191.54543380609468,161.4569140905414,
TSLA,2023-09-15,180,274.3900146484375,162.31249495672515,191.56074788704,161.94621800392153,
TSLA,2023-09-18,180,265.2799987792969,162.31249495672515,191.9668320379221,161.50627695115193,
TSLA,2023-09-19,180,266.5,162.31249495672515,192.2938697318257,160.748359292902,
TSLA,2023-09-20,180,262.5899963378906,162.31249495672515,193.8117085500897,161.58932085545626,
TSLA,2023-09-21,180,255.6999969482422,162.31249495672515,193.356375560202,161.48575980145378,
TSLA,2023-09-22,180,244.8800048828125,162.31249495672515,193.74383305740093,161.97506395981156,
TSLA,2023-09-25,180,246.9900054931641,162.31249495672515,193.65124891124884,161.53512312227798,
TSLA,2023-09-26,180,244.1199951171875,162.31249495672515,193.5341219614128,160.77720565313328,
TSLA,2023-09-27,180,240.5,162.31249495672515,193.76462962250085,161.6181673818344,
TSLA,2023-09-28,180,246.3800048828125,162.31249495672515,193.8764374850493,161.5146064738077,
TSLA,2023-09-29,180,250.22000122070312,162.31249495672515,195.14418172808917,162.003910760419,
TSLA,2023-10-02,180,251.6000061035156,162.31249495672515,194.4098587972108,161.56397003556827,
TSLA,2023-10-03,180,246.52999877929688,162.31249495672515,194.4964160297935,160.8060526654262,
TSLA,2023-10-04,180,261.1600036621094,162.31249495672515,194.08882207889712,161.6470144811105,
TSLA,2023-10-05,180,260.04998779296875,162.31249495672515,193.65096332481204,161.54345364950672,
TSLA,2023-10-06,180,260.5299987792969,162.31249495672515,193.56374014807477,162.03275800326278,
TSLA,2023-10-09,180,259.6700134277344,162.31249495672515,193.36961033749745,161.59281733740517,
TSLA,2023-10-10,180,263.6199951171875,162.31249495672515,194.3517984857315,160.83490001909402,
TSLA,2023-10-11,180,262.989990234375,162.31249495672515,193.36041417377703,161.67586188031677,
TSLA,2023-10-12,180,258.8699951171875,162.31249495672515,193.22578103170412,161.5723010887228,
TSLA,2023-10-13,180,251.1199951171875,162.31249495672515,192.639263734907,162.0616054776313,
TSLA,2023-10-16,180,253.9199981689453,162.31249495672515,192.06994688275267,161.6216648426584,
TSLA,2023-10-17,180,254.8500061035156,162.31249495672515,191.9025467003867,160.86374755148248,
TSLA,2023-10-18,180,242.67999267578125,162.31249495672515,191.681808991282,161.704709436546,
TSLA,2023-10-19,180,220.1100006103516,162.31249495672515,192.6916172379055,161.60114866589848,
TSLA,2023-10-20,180,211.9900054931641,162.31249495672515,191.78105742237443,162.0904530732104,
TSLA,2023-10-23,180,212.0800018310547,162.31249495672515,191.77774402332335,161.65051245440668,
