Date,Actual,SARIMA_Forecast
2023-04-21,327.9800109863281,326.6082454091911
2023-04-24,329.0199890136719,327.1823689283586
2023-04-25,322.54998779296875,326.3502445910106
2023-04-26,321.1499938964844,326.27344043266595
2023-04-27,325.8500061035156,326.2169993234084
2023-04-28,329.92999267578125,327.0265429581535
2023-05-01,324.1199951171875,327.8145195769196
2023-05-02,317.54998779296875,327.5697113214568
2023-05-03,319.29998779296875,327.2279415851985
2023-05-04,320.7799987792969,326.8149400731449
2023-05-05,322.760009765625,327.18887630126943
2023-05-08,331.2099914550781,327.9736565407207
2023-05-09,332.1400146484375,328.1345353445346
2023-05-10,335.4200134277344,328.1743190718448
2023-05-11,344.760009765625,327.70604224892406
2023-05-12,339.8900146484375,327.68560673618737
2023-05-15,335.8900146484375,328.17087673465124
2023-05-16,333.75,328.4353680885126
2023-05-17,339.9599914550781,328.8468046431445
2023-05-18,371.2900085449219,328.6115009281744
2023-05-19,365.3599853515625,328.4493217423767
2023-05-22,363.010009765625,328.59086341892197
2023-05-23,355.989990234375,328.68328303414086
2023-05-24,364.8500061035156,329.263958094703
2023-05-25,359.0,329.3397840296894
2023-05-26,378.8800048828125,329.2950460939246
2023-05-29,,329.2494466156477
2023-05-30,392.9800109863281,329.0659920513018
2023-05-31,395.2300109863281,329.5772567964769
2023-06-01,403.1300048828125,329.84980453444496
2023-06-02,400.4700012207031,330.0444701064804
2023-06-05,403.5400085449219,330.02697439764887
2023-06-06,399.2900085449219,329.64431649992554
2023-06-07,399.7699890136719,329.95264692782433
2023-06-08,409.3699951171875,330.23174963030147
2023-06-09,420.0199890136719,330.6222076158754
2023-06-12,423.9700012207031,330.7721755724973
2023-06-13,435.7300109863281,330.3547056758394
2023-06-14,440.8599853515625,330.4753959318158
2023-06-15,445.2699890136719,330.62071649202835
2023-06-16,431.9599914550781,331.0682184878362
2023-06-19,,331.39400719606664
2023-06-20,434.7000122070313,331.07902682540833
2023-06-21,424.4500122070313,331.12599228561606
2023-06-22,422.4800109863281,331.10999711698366
2023-06-23,424.0199890136719,331.4834865304165
2023-06-26,415.9400024414063,331.89467011858244
2023-06-27,417.0799865722656,331.7246936333499
2023-06-28,429.8399963378906,331.82028356012205
2023-06-29,428.239990234375,331.71165363612266
2023-06-30,440.489990234375,331.95748741299354
2023-07-03,441.4400024414063,332.3422061686298
2023-07-04,,332.26827151797806
2023-07-05,445.8999938964844,332.4737928648672
2023-07-06,438.8399963378906,332.3727229234111
2023-07-07,438.1000061035156,332.5223456235925
2023-07-10,441.7099914550781,332.81468099669047
2023-07-11,440.2099914550781,332.7489038474377
2023-07-12,444.0499877929688,333.04814435377875
2023-07-13,450.3800048828125,333.02253413552023
2023-07-14,441.9100036621094,333.15132674766653
2023-07-17,450.0499877929688,333.3545501278951
2023-07-18,474.7999877929688,333.2292618775645
2023-07-19,477.5899963378906,333.55916031086684
2023-07-20,437.4200134277344,333.6164454084445
2023-07-21,427.5,333.7900365789464
2023-07-24,428.3699951171875,333.95537693913
2023-07-25,427.7000122070313,333.75456060934846
2023-07-26,422.6700134277344,334.0529565707642
2023-07-27,413.1700134277344,334.1530167585683
2023-07-28,425.7799987792969,334.3940262266823
2023-07-31,438.9700012207031,334.57909869014514
2023-08-01,438.6199951171875,334.33266313099494
2023-08-02,429.7000122070313,334.57213805701804
2023-08-03,431.0,334.66266286586944
2023-08-04,431.6000061035156,334.95037767749005
2023-08-07,440.760009765625,335.1857883473447
2023-08-08,438.2999877929688,334.94026137966375
2023-08-09,428.8999938964844,335.13341694427925
2023-08-10,429.9800109863281,335.1820218932967
2023-08-11,421.6600036621094,335.4759309339176
2023-08-14,427.7799987792969,335.75607773403004
2023-08-15,423.7000122070313,335.5444174211028
2023-08-16,415.4500122070313,335.72572051561457
2023-08-17,403.0,335.7321115747981
2023-08-18,404.5299987792969,335.9996873749254
2023-08-21,408.2900085449219,336.2960049419152
2023-08-22,413.1700134277344,336.12333482185323
2023-08-23,427.5499877929688,336.3240702047272
2023-08-24,406.9299926757813,336.31118965607567
2023-08-25,416.0299987792969,336.5434863327066
2023-08-28,418.05999755859375,336.82656495239
2023-08-29,429.989990234375,336.67518361267247
2023-08-30,434.6700134277344,336.90718865239836
2023-08-31,433.6799926757813,336.902103629383
2023-09-01,439.8800048828125,337.1120386221822
2023-09-04,,337.36799224217197
2023-09-05,448.6799926757813,337.2134946722499
2023-09-06,445.760009765625,337.46813022249023
2023-09-07,443.1400146484375,337.48602795353247
2023-09-08,442.7999877929688,337.6951547694672
2023-09-11,445.3599853515625,337.9288761197748
2023-09-12,434.6900024414063,337.7554227982118
2023-09-13,412.239990234375,338.014064264876
2023-09-14,400.489990234375,338.0532596087094
2023-09-15,396.9400024414063,338.27751984034796
2023-09-18,394.3999938964844,338.5047211781269
2023-09-19,396.2000122070313,338.31131945414813
2023-09-20,386.2999877929688,338.55837740227764
2023-09-21,384.1499938964844,338.6059772044118
2023-09-22,379.80999755859375,338.8485333940268
2023-09-25,384.7999877929688,339.0840889472168
2023-09-26,379.25,338.88096645301846
2023-09-27,377.5899963378906,339.111584496434
2023-09-28,376.3599853515625,339.1537080487742
2023-09-29,377.6000061035156,339.4067991937122
2023-10-02,380.3299865722656,339.6568222959762
2023-10-03,376.75,339.4566650404956
2023-10-04,376.8999938964844,339.6763681837988
2023-10-05,372.5899963378906,339.70603803306426
2023-10-06,381.510009765625,339.95830521651527
2023-10-09,385.9500122070313,340.21925649562735
2023-10-10,373.3200073242188,340.0295601220006
2023-10-11,365.9299926757813,340.2483078538069
