Date,Actual,SARIMA_Forecast
2023-04-21,4133.52001953125,4134.683361755833
2023-04-24,4137.0400390625,4133.8092699248855
2023-04-25,4071.6298828125,4135.058330292617
2023-04-26,4055.989990234375,4135.67075675433
2023-04-27,4135.35009765625,4136.42430484307
2023-04-28,4169.47998046875,4138.531455916959
2023-05-01,4167.8701171875,4138.540692835052
2023-05-02,4119.580078125,4139.366518492036
2023-05-03,4090.75,4140.140667354971
2023-05-04,4061.219970703125,4141.228077476343
2023-05-05,4136.25,4143.313448138888
2023-05-08,4138.1201171875,4143.329921013661
2023-05-09,4119.169921875,4144.152296308434
2023-05-10,4137.64013671875,4144.92824072634
2023-05-11,4130.6201171875,4146.021150599084
2023-05-12,4124.080078125,4148.106162672282
2023-05-15,4136.27978515625,4148.122837681717
2023-05-16,4109.89990234375,4148.945174884913
2023-05-17,4158.77001953125,4149.721168954819
2023-05-18,4198.0498046875,4150.814169441375
2023-05-19,4191.97998046875,4152.8991825867815
2023-05-22,4192.6298828125,4152.915863697576
2023-05-23,4145.580078125,4153.738202354974
2023-05-24,4115.240234375,4154.514198257499
2023-05-25,4151.27978515625,4155.607200770827
2023-05-26,4205.4501953125,4157.692214305165
2023-05-29,,4157.708895728494
2023-05-30,4205.52001953125,4158.531234534295
2023-05-31,4179.830078125,4159.3072305383985
2023-06-01,4221.02001953125,4160.400233124969
2023-06-02,4282.3701171875,4162.48524669004
2023-06-05,4273.7900390625,4162.501928132486
2023-06-06,4283.85009765625,4163.324266948895
2023-06-07,4267.52001953125,4164.100262959384
2023-06-08,4293.93017578125,4165.193265549877
2023-06-09,4298.85986328125,4167.278279117047
2023-06-12,4338.93017578125,4167.294960560729
2023-06-13,4369.009765625,4168.11729937785
2023-06-14,4372.58984375,4168.893295388752
2023-06-15,4425.83984375,4169.986297979492
2023-06-16,4409.58984375,4172.0713115468
2023-06-19,,4172.087992990564
2023-06-20,4388.7099609375,4172.910331807731
2023-06-21,4365.68994140625,4173.686327818663
2023-06-22,4381.89013671875,4174.779330409417
2023-06-23,4348.330078125,4176.864343976734
2023-06-26,4328.81982421875,4176.881025420505
2023-06-27,4378.41015625,4177.703364237675
2023-06-28,4376.85986328125,4178.479360248608
2023-06-29,4396.43994140625,4179.5723628393625
2023-06-30,4450.3798828125,4181.657376406682
2023-07-03,4455.58984375,4181.6740578504505
2023-07-04,,4182.4963966676205
2023-07-05,4446.81982421875,4183.272392678554
2023-07-06,4411.58984375,4184.3653952693085
2023-07-07,4398.9501953125,4186.450408836627
2023-07-10,4409.52978515625,4186.467090280396
2023-07-11,4439.259765625,4187.289429097566
2023-07-12,4472.16015625,4188.065425108501
2023-07-13,4510.0400390625,4189.158427699255
2023-07-14,4505.419921875,4191.243441266573
2023-07-17,4522.7900390625,4191.260122710343
2023-07-18,4554.97998046875,4192.082461527514
2023-07-19,4565.72021484375,4192.8584575384475
2023-07-20,4534.8701171875,4193.951460129202
2023-07-21,4536.33984375,4196.03647369652
2023-07-24,4554.64013671875,4196.05315514029
2023-07-25,4567.4599609375,4196.875493957461
2023-07-26,4566.75,4197.651489968394
2023-07-27,4537.41015625,4198.744492559149
2023-07-28,4582.22998046875,4200.829506126467
2023-07-31,4588.9599609375,4200.846187570237
2023-08-01,4576.72998046875,4201.668526387408
2023-08-02,4513.39013671875,4202.444522398341
2023-08-03,4501.89013671875,4203.537524989096
2023-08-04,4478.02978515625,4205.622538556414
2023-08-07,4518.43994140625,4205.639220000184
2023-08-08,4499.3798828125,4206.461558817355
2023-08-09,4467.7099609375,4207.237554828288
2023-08-10,4468.830078125,4208.330557419043
2023-08-11,4464.0498046875,4210.415570986361
2023-08-14,4489.72021484375,4210.432252430131
2023-08-15,4437.85986328125,4211.2545912473015
2023-08-16,4404.330078125,4212.030587258235
2023-08-17,4370.35986328125,4213.1235898489895
2023-08-18,4369.7099609375,4215.208603416308
2023-08-21,4399.77001953125,4215.225284860077
2023-08-22,4387.5498046875,4216.047623677248
2023-08-23,4436.009765625,4216.823619688182
2023-08-24,4376.31005859375,4217.916622278936
2023-08-25,4405.7099609375,4220.001635846254
2023-08-28,4433.31005859375,4220.018317290024
2023-08-29,4497.6298828125,4220.840656107195
2023-08-30,4514.8701171875,4221.6166521181285
2023-08-31,4507.66015625,4222.709654708883
2023-09-01,4515.77001953125,4224.794668276201
2023-09-04,,4224.811349719971
2023-09-05,4496.830078125,4225.633688537142
2023-09-06,4465.47998046875,4226.409684548075
2023-09-07,4451.14013671875,4227.50268713883
2023-09-08,4457.490234375,4229.587700706148
2023-09-11,4487.4599609375,4229.604382149918
2023-09-12,4461.89990234375,4230.426720967089
2023-09-13,4467.43994140625,4231.202716978022
2023-09-14,4505.10009765625,4232.295719568777
2023-09-15,4450.31982421875,4234.380733136095
2023-09-18,4453.52978515625,4234.397414579865
2023-09-19,4443.9501953125,4235.219753397036
2023-09-20,4402.2001953125,4235.995749407969
2023-09-21,4330.0,4237.088751998724
2023-09-22,4320.06005859375,4239.173765566042
2023-09-25,4337.43994140625,4239.190447009812
2023-09-26,4273.52978515625,4240.0127858269825
2023-09-27,4274.509765625,4240.788781837916
2023-09-28,4299.7001953125,4241.8817844286705
2023-09-29,4288.0498046875,4243.966797995989
2023-10-02,4288.39013671875,4243.983479439758
2023-10-03,4229.4501953125,4244.805818256929
2023-10-04,4263.75,4245.581814267863
2023-10-05,4258.18994140625,4246.674816858617
2023-10-06,4308.5,4248.759830425935
2023-10-09,4335.66015625,4248.776511869705
2023-10-10,4358.240234375,4249.598850686876
2023-10-11,4376.9501953125,4250.3748466978095
2023-10-12,4349.60986328125,4251.467849288564
2023-10-13,4327.77978515625,4253.552862855882
2023-10-16,4373.6298828125,4253.569544299652
2023-10-17,4373.2001953125,4254.391883116823
2023-10-18,4314.60009765625,4255.167879127756
2023-10-19,4278.0,4256.260881718511
2023-10-20,4224.16015625,4258.345895285829
2023-10-23,4217.0400390625,4258.362576729599
2023-10-24,4247.68017578125,4259.18491554677
2023-10-25,4186.77001953125,4259.960911557703
2023-10-26,4137.22998046875,4261.053914148458
2023-10-27,4117.3701171875,4263.138927715776
2023-10-30,4166.81982421875,4263.155609159546
2023-10-31,4193.7998046875,4263.977947976717
2023-11-01,4237.85986328125,4264.75394398765
2023-11-02,4317.77978515625,4265.846946578405
2023-11-03,4358.33984375,4267.931960145723
2023-11-06,4365.97998046875,4267.948641589493
2023-11-07,4378.3798828125,4268.7709804066635
2023-11-08,4382.77978515625,4269.546976417597
2023-11-09,4347.35009765625,4270.6399790083515
2023-11-10,4415.240234375,4272.72499257567
2023-11-13,4411.5498046875,4272.741674019439
2023-11-14,4495.7001953125,4273.56401283661
2023-11-15,4502.8798828125,4274.340008847544
2023-11-16,4508.240234375,4275.433011438298
2023-11-17,4514.02001953125,4277.518025005616
2023-11-20,4547.3798828125,4277.534706449386
2023-11-21,4538.18994140625,4278.357045266557
2023-11-22,4556.6201171875,4279.1330412774905
2023-11-23,,4280.226043868245
2023-11-24,4559.33984375,4282.311057435563
2023-11-27,4550.43017578125,4282.327738879333
2023-11-28,4554.89013671875,4283.150077696504
2023-11-29,4550.580078125,4283.926073707437
2023-11-30,4567.7998046875,4285.019076298192
2023-12-01,4594.6298828125,4287.10408986551
2023-12-04,4569.77978515625,4287.12077130928
2023-12-05,4567.18017578125,4287.943110126451
2023-12-06,4549.33984375,4288.719106137384
2023-12-07,4585.58984375,4289.812108728139
2023-12-08,4604.3701171875,4291.897122295457
2023-12-11,4622.43994140625,4291.913803739227
2023-12-12,4643.7001953125,4292.736142556398
2023-12-13,4707.08984375,4293.512138567331
2023-12-14,4719.5498046875,4294.605141158086
2023-12-15,4719.18994140625,4296.690154725404
2023-12-18,4740.56005859375,4296.706836169174
2023-12-19,4768.3701171875,4297.5291749863445
2023-12-20,4698.35009765625,4298.305170997278
2023-12-21,4746.75,4299.3981735880325
2023-12-22,4754.6298828125,4301.483187155351
2023-12-26,4774.75,4301.49986859912
2023-12-27,4781.580078125,4302.322207416291
2023-12-28,4783.35009765625,4303.098203427225
2023-12-29,4769.830078125,4304.191206017979
