Date,Actual,LSTM_Forecast
2023-08-25,238.58999633789065,
2023-08-28,238.82000732421875,
2023-08-29,257.17999267578125,
2023-08-30,256.8999938964844,
2023-08-31,258.0799865722656,
2023-09-01,245.009994506836,
2023-09-04,,
2023-09-05,256.489990234375,
2023-09-06,251.9199981689453,
2023-09-07,251.4900054931641,
2023-09-08,248.5,
2023-09-11,273.5799865722656,
2023-09-12,267.4800109863281,
2023-09-13,271.29998779296875,
2023-09-14,276.0400085449219,
2023-09-15,274.3900146484375,
2023-09-18,265.2799987792969,
2023-09-19,266.5,
2023-09-20,262.5899963378906,
2023-09-21,255.6999969482422,
2023-09-22,244.8800048828125,
2023-09-25,246.9900054931641,
2023-09-26,244.1199951171875,
2023-09-27,240.5,
2023-09-28,246.3800048828125,
2023-09-29,250.22000122070312,
2023-10-02,251.6000061035156,
2023-10-03,246.52999877929688,
2023-10-04,261.1600036621094,
2023-10-05,260.04998779296875,
2023-10-06,260.5299987792969,
2023-10-09,259.6700134277344,
2023-10-10,263.6199951171875,
2023-10-11,262.989990234375,
2023-10-12,258.8699951171875,
2023-10-13,251.1199951171875,
2023-10-16,253.9199981689453,
2023-10-17,254.8500061035156,
2023-10-18,242.67999267578125,
2023-10-19,220.1100006103516,
2023-10-20,211.9900054931641,
2023-10-23,212.0800018310547,
2023-10-24,216.5200042724609,
2023-10-25,212.4199981689453,
2023-10-26,205.759994506836,
2023-10-27,207.3000030517578,
2023-10-30,197.3600006103516,
2023-10-31,200.83999633789065,
2023-11-01,205.6600036621093,
2023-11-02,218.509994506836,
2023-11-03,219.9600067138672,
2023-11-06,219.2700042724609,
2023-11-07,222.17999267578125,
2023-11-08,222.1100006103516,
2023-11-09,209.97999572753903,
2023-11-10,214.6499938964844,
2023-11-13,223.7100067138672,
2023-11-14,237.4100036621093,
2023-11-15,242.83999633789065,
2023-11-16,233.58999633789065,
2023-11-17,234.3000030517578,
2023-11-20,235.6000061035156,
2023-11-21,241.1999969482422,
2023-11-22,234.2100067138672,
2023-11-23,,
2023-11-24,235.4499969482422,
2023-11-27,236.0800018310547,
2023-11-28,246.72000122070312,
2023-11-29,244.13999938964844,
2023-11-30,240.0800018310547,
2023-12-01,238.8300018310547,
2023-12-04,235.5800018310547,
2023-12-05,238.72000122070312,
2023-12-06,239.3699951171875,
2023-12-07,242.63999938964844,
2023-12-08,243.83999633789065,
2023-12-11,239.7400054931641,
2023-12-12,237.009994506836,
2023-12-13,239.2899932861328,
2023-12-14,251.0500030517578,
2023-12-15,253.5,
2023-12-18,252.0800018310547,
2023-12-19,257.2200012207031,
2023-12-20,247.13999938964844,
2023-12-21,254.5,
2023-12-22,252.5399932861328,
2023-12-26,256.6099853515625,
2023-12-27,261.44000244140625,
2023-12-28,253.17999267578125,
2023-12-29,248.47999572753903,
