Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast
2023-08-25,4405.7099609375,4383.602897815952,4039.836213182337,4386.675718763155
2023-08-28,4433.31005859375,4381.020817580409,4036.87322133172,4385.425053376469
2023-08-29,4497.6298828125,4380.443482112438,4033.1286436019495,4386.984635110885
2023-08-30,4514.8701171875,4383.826682671869,4030.238565958118,4388.777524408556
2023-08-31,4507.66015625,4381.448783696761,4025.491280209671,4388.8900571740905
2023-09-01,4515.77001953125,4382.150353729615,4021.567151621005,4391.869642522981
2023-09-04,,4381.872270818379,4017.628103682669,4392.532918454127
2023-09-05,4496.830078125,4381.830521404076,4013.265217436274,4393.350379322828
2023-09-06,4465.47998046875,4381.997319849974,4010.151300723645,4394.203801426244
2023-09-07,4451.14013671875,4381.88682818948,4006.32706346452,4395.738596903227
2023-09-08,4457.490234375,4381.936429984998,4003.418789854223,4398.514384673039
2023-09-11,4487.4599609375,4381.917378140744,3998.70383945792,4399.1547251752045
2023-09-12,4461.89990234375,4381.915978971497,3994.850902172968,4399.906665356178
2023-09-13,4467.43994140625,4381.923451138403,3991.0099033552074,4400.680909491107
2023-09-14,4505.10009765625,4381.917867408945,3986.760042554107,4402.20649504964
2023-09-15,4450.31982421875,4381.920922893242,3983.762806493854,4404.92925239865
2023-09-18,4453.52978515625,4381.919743176053,3980.0485773639816,4405.523774461691
2023-09-19,4443.9501953125,4381.91977192194,3977.234712454911,4406.23023960434
2023-09-20,4402.2001953125,4381.920093322407,3972.591412931424,4406.960344649527
2023-09-21,4330.0,4381.919805150099,3968.782293671671,4408.445240611552
2023-09-22,4320.06005859375,4381.919980405063,3964.954538998188,4411.127640752151
2023-09-25,4337.43994140625,4381.919909268302,3960.687118236428,4411.683455676691
2023-09-26,4273.52978515625,4381.919917796358,3957.643894513678,4412.352627455095
2023-09-27,4274.509765625,4381.919931043342,3953.860243177001,4413.046825447064
2023-09-28,4299.7001953125,4381.919916346253,3950.961053894918,4414.497208291337
2023-09-29,4288.0498046875,4381.919926014055,3946.226435068109,4417.14635550282
2023-10-02,4288.39013671875,4381.919921783046,3942.3320361132855,4417.6701667663965
2023-10-03,4229.4501953125,4381.919922631593,3938.4388787988846,4418.308532578858
2023-10-04,4263.75,4381.919923134449,3934.141180460726,4418.973078147355
2023-10-05,4258.18994140625,4381.919922403307,3931.119013687137,4420.394920520157
2023-10-06,4308.5,4381.919922924056,3927.4244319817503,4423.016595348232
2023-10-09,4335.66015625,4381.919922676273,3924.698950156251,4423.513963297906
2023-10-10,4358.240234375,4381.919922742139,3920.238713876765,4424.126876192772
2023-10-11,4376.9501953125,4381.9199227579,3916.734290352096,4424.76692216423
2023-10-12,4349.60986328125,4381.919922722627,3913.359987882384,4426.165182598299
2023-10-13,4327.77978515625,4381.919922750178,3909.721203236327,4428.764158715142
2023-10-16,4373.6298828125,4381.919922735923,3907.5066566771534,4429.239678127012
2023-10-17,4373.2001953125,4381.9199227404815,3904.774157983212,4429.831560811073
2023-10-18,4314.60009765625,4381.919922740713,3903.167804215405,4430.451364249163
2023-10-19,4278.0,4381.919922739073,3899.982953425669,4431.830140326365
2023-10-20,4224.16015625,4381.919922740506,3897.905913511201,4434.410361864029
